accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.84,0.3333333333333333,0.16,5.7669845422587445,gini,log2,1,2,100,0,0
0.85,0.4444444444444444,0.15,5.406548008367573,gini,sqrt,1,2,200,0,1
0.85,0.4,0.15,5.406548008367573,gini,sqrt,1,10,200,0,2
0.88,0.5714285714285714,0.12,4.325238406694058,gini,sqrt,1,2,200,0,3
0.85,0.4444444444444444,0.15,5.406548008367573,gini,sqrt,1,10,200,0,4
0.84,0.3333333333333333,0.16,5.7669845422587445,gini,sqrt,1,2,100,0,5
0.81,0.17391304347826086,0.19,6.848294143932259,gini,sqrt,1,2,100,0,6
0.8,0.16666666666666666,0.2,7.20873067782343,gini,sqrt,1,10,200,0,7
0.88,0.5714285714285714,0.12,4.325238406694058,gini,sqrt,1,2,100,0,8
0.82,0.18181818181818182,0.18,6.487857610041087,gini,sqrt,1,2,200,0,9
0.8555555555555555,0.48,0.14444444444444443,5.206305489539144,gini,sqrt,1,2,100,1,0
0.8333333333333334,0.2857142857142857,0.16666666666666666,6.0072755648528595,gini,sqrt,1,2,100,1,1
0.8666666666666667,0.5,0.13333333333333333,4.805820451882287,gini,log2,1,2,200,1,2
0.8555555555555555,0.43478260869565216,0.14444444444444443,5.206305489539144,gini,sqrt,1,2,100,1,3
0.8333333333333334,0.2857142857142857,0.16666666666666666,6.0072755648528595,gini,log2,1,2,200,1,4
0.8,0.0,0.2,7.20873067782343,gini,sqrt,1,2,100,1,5
0.8444444444444444,0.4166666666666667,0.15555555555555556,5.606790527196002,gini,sqrt,1,10,200,1,6
0.8555555555555555,0.43478260869565216,0.14444444444444443,5.206305489539144,entropy,sqrt,1,2,200,1,7
0.8333333333333334,0.2857142857142857,0.16666666666666666,6.0072755648528595,gini,sqrt,1,2,100,1,8
0.8333333333333334,0.2857142857142857,0.16666666666666666,6.0072755648528595,gini,sqrt,1,2,100,1,9
0.8395061728395061,0.3157894736842105,0.16049382716049382,5.784783877265716,gini,sqrt,1,10,200,2,0
0.8395061728395061,0.3157894736842105,0.16049382716049382,5.784783877265716,gini,log2,1,10,200,2,1
0.8395061728395061,0.38095238095238093,0.16049382716049382,5.784783877265717,gini,sqrt,1,10,200,2,2
0.8518518518518519,0.4,0.14814814814814814,5.33980050209143,gini,sqrt,1,2,100,2,3
0.8395061728395061,0.3157894736842105,0.16049382716049382,5.784783877265716,gini,sqrt,1,10,200,2,4
0.8395061728395061,0.3157894736842105,0.16049382716049382,5.784783877265716,gini,sqrt,1,2,100,2,5
0.8395061728395061,0.3157894736842105,0.16049382716049382,5.784783877265715,gini,sqrt,1,10,200,2,6
0.8148148148148148,0.11764705882352941,0.18518518518518517,6.674750627614288,gini,sqrt,1,2,100,2,7
0.8395061728395061,0.38095238095238093,0.16049382716049382,5.784783877265716,gini,sqrt,1,10,100,2,8
0.8271604938271605,0.3,0.1728395061728395,6.229767252440002,gini,sqrt,1,2,200,2,9
0.863013698630137,0.4444444444444444,0.136986301369863,4.937486765632486,entropy,sqrt,1,2,100,3,0
0.8493150684931506,0.35294117647058826,0.1506849315068493,5.431235442195735,gini,sqrt,1,10,100,3,1
0.8493150684931506,0.42105263157894735,0.1506849315068493,5.431235442195736,gini,sqrt,1,2,100,3,2
0.863013698630137,0.4444444444444444,0.136986301369863,4.937486765632486,entropy,sqrt,1,10,100,3,3
0.8356164383561644,0.3333333333333333,0.1643835616438356,5.924984118758984,gini,sqrt,1,2,200,3,4
0.8356164383561644,0.3333333333333333,0.1643835616438356,5.924984118758983,gini,log2,1,10,200,3,5
0.8082191780821918,0.125,0.1917808219178082,6.9124814718854815,gini,sqrt,1,2,100,3,6
0.8356164383561644,0.3333333333333333,0.1643835616438356,5.924984118758984,gini,log2,1,10,200,3,7
