accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,repeat,fold
0.85,0.5454545454545454,0.15,5.406548008367573,entropy,,15,6,0,0
0.83,0.5405405405405406,0.17,6.127421076149916,entropy,,7,2,0,1
0.79,0.4,0.21,7.569167211714602,entropy,,15,2,0,2
0.81,0.5365853658536586,0.19,6.848294143932259,entropy,,15,2,0,3
0.83,0.5405405405405406,0.17,6.127421076149916,entropy,sqrt,15,2,0,4
0.76,0.25,0.24,8.650476813388115,entropy,sqrt,7,14,0,5
0.85,0.5454545454545454,0.15,5.406548008367573,entropy,,7,6,0,6
0.79,0.36363636363636365,0.21,7.569167211714602,entropy,,15,2,0,7
0.87,0.6285714285714286,0.13,4.68567494058523,gini,,15,2,0,8
0.69,0.3673469387755102,0.31,11.17353255062632,gini,,1,14,0,9
0.8222222222222222,0.42857142857142855,0.17777777777777778,6.4077606025097165,gini,sqrt,15,14,1,0
0.8,0.3076923076923077,0.2,7.20873067782343,entropy,sqrt,15,2,1,1
0.7888888888888889,0.3448275862068966,0.2111111111111111,7.609215715480287,entropy,sqrt,15,2,1,2
0.8777777777777778,0.6857142857142857,0.12222222222222222,4.405335414225429,entropy,,15,6,1,3
0.7333333333333333,0.3684210526315789,0.26666666666666666,9.611640903764574,entropy,sqrt,1,14,1,4
0.7777777777777778,0.0,0.2222222222222222,8.009700753137144,entropy,,7,14,1,5
0.8555555555555555,0.5806451612903226,0.14444444444444443,5.206305489539145,entropy,,15,2,1,6
0.7888888888888889,0.2962962962962963,0.2111111111111111,7.609215715480287,entropy,sqrt,15,2,1,7
0.7666666666666667,0.4,0.23333333333333334,8.410185790794003,gini,sqrt,15,14,1,8
0.7333333333333333,0.29411764705882354,0.26666666666666666,9.611640903764574,entropy,,1,14,1,9
0.7283950617283951,0.35294117647058826,0.2716049382716049,9.789634253834288,gini,,15,14,2,0
0.7777777777777778,0.35714285714285715,0.2222222222222222,8.009700753137144,entropy,,7,6,2,1
0.7530864197530864,0.23076923076923078,0.24691358024691357,8.899667503485716,entropy,,15,6,2,2
0.8518518518518519,0.625,0.14814814814814814,5.33980050209143,entropy,,7,2,2,3
0.8024691358024691,0.38461538461538464,0.19753086419753085,7.119734002788573,gini,,7,14,2,4
0.7407407407407407,0.3225806451612903,0.25925925925925924,9.344650878660003,gini,,7,14,2,5
0.7530864197530864,0.2857142857142857,0.24691358024691357,8.899667503485716,entropy,,15,2,2,6
0.7777777777777778,0.25,0.2222222222222222,8.009700753137144,gini,sqrt,7,6,2,7
0.7530864197530864,0.4117647058823529,0.24691358024691357,8.899667503485716,gini,,7,2,2,8
