accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,repeat,fold
0.796,0.49504950495049505,0.204,7.352905291379899,gini,,7,14,0,0
0.736,0.36538461538461536,0.264,9.515524494726927,entropy,,15,2,0,1
0.792,0.4222222222222222,0.208,7.497079904936368,gini,,15,2,0,2
0.82,0.47058823529411764,0.18,6.487857610041087,gini,,15,6,0,3
0.88,0.7,0.12,4.325238406694058,entropy,,15,2,0,4
0.792,0.44680851063829785,0.208,7.497079904936367,gini,,15,2,0,5
0.792,0.43478260869565216,0.208,7.497079904936367,entropy,,15,14,0,6
0.796,0.4,0.204,7.352905291379899,gini,,15,2,0,7
0.776,0.46153846153846156,0.224,8.073778359162242,entropy,,1,14,0,8
0.82,0.5054945054945055,0.18,6.487857610041087,gini,,15,6,0,9
0.7911111111111111,0.4835164835164835,0.2088888888888889,7.529118707948916,gini,,7,2,1,0
0.7511111111111111,0.40425531914893614,0.24888888888888888,8.970864843513603,entropy,,7,14,1,1
0.8311111111111111,0.5,0.1688888888888889,6.08737257238423,entropy,,15,2,1,2
0.8044444444444444,0.4883720930232558,0.19555555555555557,7.0485366627606885,entropy,,15,14,1,3
0.8088888888888889,0.5057471264367817,0.19111111111111112,6.888342647697945,gini,,7,6,1,4
0.7822222222222223,0.46153846153846156,0.21777777777777776,7.849506738074402,entropy,,1,14,1,5
0.8311111111111111,0.5,0.1688888888888889,6.08737257238423,entropy,,15,14,1,6
0.8088888888888889,0.37681159420289856,0.19111111111111112,6.888342647697945,entropy,,15,2,1,7
0.8044444444444444,0.4358974358974359,0.19555555555555557,7.048536662760687,gini,,15,14,1,8
0.8088888888888889,0.4266666666666667,0.19111111111111112,6.888342647697945,gini,sqrt,15,6,1,9
0.8374384236453202,0.5822784810126582,0.1625615763546798,5.859313112516582,gini,,15,2,2,0
0.8325123152709359,0.5,0.16748768472906403,6.036868055320113,gini,sqrt,15,2,2,1
0.7684729064039408,0.43373493975903615,0.2315270935960591,8.34508231176604,entropy,,7,2,2,2
0.7684729064039408,0.4050632911392405,0.2315270935960591,8.34508231176604,entropy,,1,6,2,3
0.8226600985221675,0.5135135135135135,0.17733990147783252,6.3919779409271795,entropy,,15,14,2,4
0.7920792079207921,0.4878048780487805,0.2079207920792079,7.494224962093666,entropy,,15,6,2,5
0.8415841584158416,0.5789473684210527,0.15841584158415842,5.709885685404697,entropy,,15,14,2,6
0.8118811881188119,0.45714285714285713,0.18811881188118812,6.7804892514180795,gini,sqrt,15,6,2,7
0.8217821782178217,0.5813953488372093,0.1782178217821782,6.423621396080285,gini,,15,2,2,8
0.7574257425742574,0.4235294117647059,0.24257425742574257,8.743262455775943,gini,sqrt,7,2,2,9
0.8142076502732241,0.5,0.18579234972677597,6.696635055901547,gini,,7,2,3,0
0.7540983606557377,0.4155844155844156,0.2459016393442623,8.863193456340284,entropy,,7,14,3,1
0.8087431693989071,0.4927536231884058,0.1912568306010929,6.893594910486888,entropy,,15,2,3,2
0.7857142857142857,0.4507042253521127,0.21428571428571427,7.723640011953676,gini,,15,2,3,3
0.7527472527472527,0.34782608695652173,0.24725274725274726,8.911892321485011,entropy,sqrt,15,14,3,4
0.7912087912087912,0.36666666666666664,0.2087912087912088,7.525597960365119,gini,sqrt,15,14,3,5
0.8186813186813187,0.5074626865671642,0.1813186813186813,6.53538770242234,entropy,,7,14,3,6
0.8296703296703297,0.5230769230769231,0.17032967032967034,6.1393035992452285,entropy,,15,6,3,7
0.7362637362637363,0.29411764705882354,0.26373626373626374,9.506018476250677,gini,sqrt,7,6,3,8
0.7582417582417582,0.3333333333333333,0.24175824175824176,8.713850269896454,gini,sqrt,15,14,3,9
0.8121212121212121,0.5230769230769231,0.18787878787878787,6.771837909470496,gini,,15,2,4,0
0.8414634146341463,0.6060606060606061,0.15853658536585366,5.714237732421012,gini,,7,6,4,1
0.7804878048780488,0.3076923076923077,0.21951219512195122,7.912021475659863,gini,sqrt,15,2,4,2
0.8109756097560976,0.4918032786885246,0.18902439024390244,6.813129604040438,gini,,15,2,4,3
0.7987804878048781,0.4406779661016949,0.20121951219512196,7.252686352688207,gini,,15,2,4,4
0.7621951219512195,0.3389830508474576,0.23780487804878048,8.571356598631517,gini,,15,2,4,5
0.8109756097560976,0.5373134328358209,0.18902439024390244,6.813129604040438,entropy,,15,2,4,6
0.8292682926829268,0.4166666666666667,0.17073170731707318,6.153794481068783,gini,,15,14,4,7
0.8048780487804879,0.3333333333333333,0.1951219512195122,7.032907978364323,gini,sqrt,15,14,4,8
0.7865853658536586,0.47761194029850745,0.21341463414634146,7.692243101335978,entropy,,7,14,4,9
0.7837837837837838,0.42857142857142855,0.21621621621621623,7.793222354403709,gini,,15,2,5,0
0.7905405405405406,0.4745762711864407,0.20945945945945946,7.549684155828592,gini,,15,14,5,1
0.7905405405405406,0.45614035087719296,0.20945945945945946,7.549684155828594,gini,,15,2,5,2
0.7702702702702703,0.2916666666666667,0.22972972972972974,8.280298751553941,gini,,15,14,5,3
0.8243243243243243,0.5357142857142857,0.17567567567567569,6.3319931629530135,entropy,sqrt,15,2,5,4
0.7905405405405406,0.43636363636363634,0.20945945945945946,7.549684155828594,gini,,7,2,5,5
0.777027027027027,0.4406779661016949,0.22297297297297297,8.036760552978825,entropy,,1,14,5,6
0.782312925170068,0.2727272727272727,0.21768707482993196,7.846237472460877,gini,sqrt,15,14,5,7
0.7551020408163265,0.3076923076923077,0.24489795918367346,8.827017156518487,gini,sqrt,7,14,5,8
0.8299319727891157,0.5454545454545454,0.17006802721088435,6.12987302536006,gini,,15,14,5,9
0.7293233082706767,0.21739130434782608,0.2706766917293233,9.756176857204643,entropy,sqrt,7,6,6,0
0.7894736842105263,0.36363636363636365,0.21052631578947367,7.58813755560361,entropy,,7,14,6,1
0.7518796992481203,0.23255813953488372,0.24812030075187969,8.943162119104255,entropy,,15,14,6,2
0.7744360902255639,0.34782608695652173,0.22556390977443608,8.130147381003868,entropy,,15,2,6,3
0.7744360902255639,0.4230769230769231,0.22556390977443608,8.13014738100387,gini,,7,14,6,4
0.7593984962406015,0.3333333333333333,0.24060150375939848,8.672157206404128,entropy,,15,2,6,5
0.7894736842105263,0.5,0.21052631578947367,7.588137555603612,entropy,,1,6,6,6
0.7593984962406015,0.4482758620689655,0.24060150375939848,8.672157206404128,entropy,,7,14,6,7
0.849624060150376,0.5454545454545454,0.15037593984962405,5.420098254002579,entropy,sqrt,15,6,6,8
0.8421052631578947,0.5714285714285714,0.15789473684210525,5.6911031667027085,gini,,15,14,6,9
0.825,0.4878048780487805,0.175,6.307639343095502,gini,,15,14,7,0
0.775,0.18181818181818182,0.225,8.109822012551358,gini,sqrt,15,6,7,1
0.775,0.4489795918367347,0.225,8.109822012551358,entropy,,1,2,7,2
0.825,0.4878048780487805,0.175,6.307639343095501,entropy,,15,6,7,3
0.7666666666666667,0.391304347826087,0.23333333333333334,8.410185790794003,gini,,7,14,7,4
0.7666666666666667,0.3,0.23333333333333334,8.410185790794003,entropy,,1,14,7,5
0.8083333333333333,0.5106382978723404,0.19166666666666668,6.908366899580788,gini,,7,14,7,6
0.8571428571428571,0.6046511627906976,0.14285714285714285,5.14909334130245,entropy,,15,6,7,7
0.773109243697479,0.5263157894736842,0.226890756302521,8.177971777362716,entropy,,7,14,7,8
0.7647058823529411,0.5172413793103449,0.23529411764705882,8.480859620968742,gini,,15,6,7,9
0.75,0.3076923076923077,0.25,9.010913347279288,gini,,15,2,8,0
0.8333333333333334,0.55,0.16666666666666666,6.007275564852858,gini,,15,14,8,1
0.7777777777777778,0.29411764705882354,0.2222222222222222,8.009700753137146,gini,,7,6,8,2
0.8425925925925926,0.5853658536585366,0.1574074074074074,5.673538033472145,gini,,15,14,8,3
0.8148148148148148,0.5,0.18518518518518517,6.674750627614287,entropy,,7,6,8,4
0.7962962962962963,0.42105263157894735,0.2037037037037037,7.342225690375716,gini,sqrt,15,2,8,5
0.7962962962962963,0.3888888888888889,0.2037037037037037,7.342225690375716,entropy,sqrt,15,14,8,6
0.8425925925925926,0.6046511627906976,0.1574074074074074,5.673538033472145,entropy,,1,2,8,7
0.8598130841121495,0.5161290322580645,0.14018691588785046,5.052848605951003,gini,,15,2,8,8
0.8037383177570093,0.36363636363636365,0.19626168224299065,7.073988048331405,gini,,15,2,8,9
0.7857142857142857,0.4,0.21428571428571427,7.723640011953675,entropy,,15,2,9,0
0.7938144329896907,0.4117647058823529,0.20618556701030927,7.431681111158175,entropy,,7,6,9,1
0.865979381443299,0.5806451612903226,0.13402061855670103,4.830592722252814,gini,,15,2,9,2
0.7938144329896907,0.4117647058823529,0.20618556701030927,7.431681111158175,gini,,15,2,9,3
0.7731958762886598,0.21428571428571427,0.2268041237113402,8.174849222273993,entropy,sqrt,15,6,9,4
0.7835051546391752,0.2222222222222222,0.21649484536082475,7.803265166716084,entropy,sqrt,15,2,9,5
0.7216494845360825,0.3076923076923077,0.27835051546391754,10.032769500063537,entropy,sqrt,7,14,9,6
0.7835051546391752,0.4,0.21649484536082475,7.803265166716084,gini,sqrt,15,6,9,7
0.8041237113402062,0.42424242424242425,0.1958762886597938,7.0600970556002665,entropy,sqrt,15,6,9,8
0.7731958762886598,0.26666666666666666,0.2268041237113402,8.174849222273993,gini,sqrt,15,6,9,9
