accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.8378378378378378,0.25,0.16216216216216217,5.844916765802782,gini,sqrt,1,10,100,3,1
0.7837837837837838,0.0,0.21621621621621623,7.793222354403707,gini,log2,1,10,100,3,2
0.7837837837837838,0.0,0.21621621621621623,7.793222354403709,gini,log2,1,10,200,3,3
0.7567567567567568,0.0,0.24324324324324326,8.767375148704172,entropy,sqrt,1,2,100,3,4
0.8333333333333334,0.25,0.16666666666666666,6.007275564852858,gini,sqrt,1,10,200,3,5
0.8055555555555556,0.0,0.19444444444444445,7.008488158995001,gini,sqrt,1,10,200,3,6
0.8333333333333334,0.25,0.16666666666666666,6.007275564852858,gini,log2,1,2,100,3,7
0.8055555555555556,0.0,0.19444444444444445,7.008488158995002,entropy,sqrt,1,10,100,3,8
0.8055555555555556,0.0,0.19444444444444445,7.008488158995003,gini,sqrt,1,2,100,3,9
0.8181818181818182,0.0,0.18181818181818182,6.553391525294027,gini,log2,1,2,100,4,0
0.8484848484848485,0.2857142857142857,0.15151515151515152,5.46115960441169,gini,sqrt,1,2,200,4,1
0.8181818181818182,0.0,0.18181818181818182,6.553391525294027,gini,sqrt,1,10,200,4,2
0.8181818181818182,0.25,0.18181818181818182,6.553391525294028,gini,log2,1,10,200,4,3
0.7878787878787878,0.0,0.21212121212121213,7.645623446176367,gini,sqrt,1,10,100,4,4
0.7878787878787878,0.0,0.21212121212121213,7.645623446176367,gini,sqrt,1,10,100,4,5
0.7878787878787878,0.0,0.21212121212121213,7.645623446176367,entropy,sqrt,1,10,100,4,6
0.7878787878787878,0.0,0.21212121212121213,7.645623446176366,gini,log2,1,10,100,4,7
0.7878787878787878,0.0,0.21212121212121213,7.645623446176366,gini,log2,1,10,100,4,8
0.8125,0.0,0.1875,6.758185010459466,gini,sqrt,1,2,200,4,9
0.8,0.0,0.2,7.2087306778234295,gini,sqrt,1,10,100,5,0
0.8,0.0,0.2,7.2087306778234295,gini,log2,1,10,200,5,1
0.8,0.0,0.2,7.2087306778234295,entropy,log2,1,2,100,5,2
0.8333333333333334,0.2857142857142857,0.16666666666666666,6.007275564852859,gini,sqrt,1,2,100,5,3
0.8,0.0,0.2,7.2087306778234295,gini,sqrt,1,2,200,5,4
0.8333333333333334,0.2857142857142857,0.16666666666666666,6.007275564852859,gini,sqrt,1,2,100,5,5
0.8,0.0,0.2,7.2087306778234295,gini,log2,1,2,100,5,6
0.7931034482758621,0.0,0.20689655172413793,7.457307597748376,gini,log2,1,2,100,5,7
0.7931034482758621,0.0,0.20689655172413793,7.457307597748375,gini,sqrt,1,10,100,5,8
0.7931034482758621,0.0,0.20689655172413793,7.457307597748375,gini,sqrt,1,2,100,5,9
0.8148148148148148,0.0,0.18518518518518517,6.674750627614287,gini,log2,1,10,200,6,0
0.8148148148148148,0.0,0.18518518518518517,6.674750627614287,gini,log2,1,10,100,6,1
0.8148148148148148,0.0,0.18518518518518517,6.674750627614287,gini,sqrt,1,10,100,6,2
0.8518518518518519,0.3333333333333333,0.14814814814814814,5.33980050209143,gini,sqrt,1,2,100,6,3
0.8148148148148148,0.2857142857142857,0.18518518518518517,6.674750627614287,gini,sqrt,1,10,100,6,4
0.8148148148148148,0.2857142857142857,0.18518518518518517,6.674750627614287,gini,sqrt,1,2,200,6,5
