accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.836,0.3492063492063492,0.164,5.911159155815213,gini,sqrt,1,10,100,0,0
0.856,0.45454545454545453,0.144,5.19028608803287,gini,sqrt,1,2,200,0,1
0.86,0.5333333333333333,0.14,5.046111474476402,gini,sqrt,1,2,100,0,2
0.86,0.5333333333333333,0.14,5.046111474476402,gini,sqrt,1,10,100,0,3
0.86,0.4927536231884058,0.14,5.046111474476402,gini,sqrt,1,2,200,0,4
0.848,0.42424242424242425,0.152,5.478635315145807,gini,sqrt,1,2,100,0,5
0.828,0.29508196721311475,0.172,6.19950838292815,gini,sqrt,1,2,100,0,6
0.856,0.4857142857142857,0.144,5.19028608803287,gini,sqrt,1,10,100,0,7
0.844,0.4,0.156,5.622809928702276,gini,sqrt,1,10,200,0,8
0.844,0.417910447761194,0.156,5.622809928702276,gini,sqrt,1,10,200,0,9
0.8533333333333334,0.42105263157894735,0.14666666666666667,5.286402497070515,gini,sqrt,1,10,200,1,0
0.8488888888888889,0.45161290322580644,0.1511111111111111,5.446596512133259,gini,sqrt,1,2,200,1,1
0.8488888888888889,0.43333333333333335,0.1511111111111111,5.446596512133259,gini,sqrt,1,2,200,1,2
0.8311111111111111,0.3448275862068966,0.1688888888888889,6.087372572384231,gini,sqrt,1,2,100,1,3
0.8488888888888889,0.43333333333333335,0.1511111111111111,5.446596512133259,gini,sqrt,1,2,200,1,4
0.8488888888888889,0.41379310344827586,0.1511111111111111,5.44659651213326,gini,sqrt,1,2,200,1,5
0.8533333333333334,0.47619047619047616,0.14666666666666667,5.286402497070515,gini,sqrt,1,10,200,1,6
0.8577777777777778,0.4666666666666667,0.14222222222222222,5.126208482007773,gini,sqrt,1,10,100,1,7
0.8133333333333334,0.27586206896551724,0.18666666666666668,6.728148632635202,gini,sqrt,1,10,200,1,8
0.8533333333333334,0.45901639344262296,0.14666666666666667,5.286402497070515,entropy,sqrt,1,2,200,1,9
0.8620689655172413,0.5,0.13793103448275862,4.971538398498918,gini,sqrt,1,2,200,2,0
0.8522167487684729,0.4827586206896552,0.1477832512315271,5.326648284105984,gini,sqrt,1,10,100,2,1
0.8620689655172413,0.5333333333333333,0.13793103448275862,4.971538398498918,gini,sqrt,1,2,200,2,2
0.8374384236453202,0.37735849056603776,0.1625615763546798,5.859313112516581,gini,sqrt,1,10,100,2,3
0.8374384236453202,0.37735849056603776,0.1625615763546798,5.859313112516581,gini,log2,1,2,100,2,4
0.8316831683168316,0.2916666666666667,0.16831683168316833,6.066753540742491,gini,sqrt,1,2,100,2,5
0.8514851485148515,0.4230769230769231,0.1485148514851485,5.353017830066903,gini,sqrt,1,2,100,2,6
0.8267326732673267,0.2553191489361702,0.17326732673267325,6.245187468411388,gini,log2,1,10,200,2,7
0.8366336633663366,0.32653061224489793,0.16336633663366337,5.888319613073594,gini,sqrt,1,2,200,2,8
0.8465346534653465,0.41509433962264153,0.15346534653465346,5.531451757735802,gini,sqrt,1,2,200,2,9
0.8524590163934426,0.425531914893617,0.14754098360655737,5.31791607380417,gini,sqrt,1,2,200,3,0
0.819672131147541,0.26666666666666666,0.18032786885245902,6.499675201316207,gini,sqrt,1,10,200,3,1
0.8469945355191257,0.44,0.15300546448087432,5.514875928389509,gini,sqrt,1,10,100,3,2
0.8626373626373627,0.4897959183673469,0.13736263736263737,4.951051289713894,gini,sqrt,1,2,100,3,3
0.8571428571428571,0.48,0.14285714285714285,5.14909334130245,gini,sqrt,1,2,200,3,4
0.8186813186813187,0.26666666666666666,0.1813186813186813,6.53538770242234,gini,sqrt,1,10,100,3,5
0.8461538461538461,0.391304347826087,0.15384615384615385,5.545177444479561,gini,log2,1,10,200,3,6
0.8516483516483516,0.4489795918367347,0.14835164835164835,5.347135392891006,gini,sqrt,1,10,200,3,7
0.8406593406593407,0.35555555555555557,0.15934065934065933,5.743219496068117,gini,sqrt,1,10,200,3,8
0.8241758241758241,0.2727272727272727,0.17582417582417584,6.337345650833785,gini,sqrt,1,2,100,3,9
0.8727272727272727,0.5531914893617021,0.12727272727272726,4.58737406770582,gini,sqrt,1,2,200,4,0
0.8597560975609756,0.46511627906976744,0.1402439024390244,5.054902609449357,gini,sqrt,1,2,200,4,1
0.8170731707317073,0.3181818181818182,0.18292682926829268,6.593351229716551,gini,sqrt,1,10,100,4,2
0.8658536585365854,0.5,0.13414634146341464,4.8351242351254715,gini,sqrt,1,10,100,4,3
0.8353658536585366,0.3076923076923077,0.16463414634146342,5.934016106744896,gini,log2,1,2,200,4,4
0.8475609756097561,0.3902439024390244,0.1524390243902439,5.494459358097126,gini,sqrt,1,10,200,4,5
0.8597560975609756,0.4888888888888889,0.1402439024390244,5.054902609449357,gini,sqrt,1,2,100,4,6
0.8475609756097561,0.4186046511627907,0.1524390243902439,5.494459358097127,gini,log2,1,2,200,4,7
0.8353658536585366,0.37209302325581395,0.16463414634146342,5.934016106744897,gini,sqrt,1,10,100,4,8
0.8841463414634146,0.6274509803921569,0.11585365853658537,4.175789112153816,gini,sqrt,1,2,200,4,9
0.831081081081081,0.32432432432432434,0.16891891891891891,6.088454964377897,gini,sqrt,1,10,200,5,0
0.8445945945945946,0.3783783783783784,0.1554054054054054,5.601378567227666,gini,sqrt,1,10,100,5,1
0.8378378378378378,0.3684210526315789,0.16216216216216217,5.844916765802781,gini,sqrt,1,10,200,5,2
0.8243243243243243,0.2777777777777778,0.17567567567567569,6.3319931629530135,gini,log2,1,10,100,5,3
0.8851351351351351,0.6046511627906976,0.11486486486486487,4.1401493757769705,gini,sqrt,1,2,200,5,4
0.8716216216216216,0.5365853658536586,0.12837837837837837,4.6272257729272015,gini,sqrt,1,10,200,5,5
0.8378378378378378,0.3684210526315789,0.16216216216216217,5.844916765802782,gini,log2,1,10,200,5,6
0.8503401360544217,0.45,0.14965986394557823,5.394288262316852,gini,sqrt,1,10,100,5,7
0.8299319727891157,0.358974358974359,0.17006802721088435,6.12987302536006,gini,sqrt,1,2,200,5,8
0.8707482993197279,0.5365853658536586,0.1292517006802721,4.6587034992736465,gini,sqrt,1,2,200,5,9
0.8120300751879699,0.2857142857142857,0.18796992481203006,6.775122817503224,gini,sqrt,1,10,100,6,0
0.8270676691729323,0.25806451612903225,0.17293233082706766,6.233112992102966,gini,sqrt,1,2,100,6,1
0.8120300751879699,0.1935483870967742,0.18796992481203006,6.775122817503224,gini,sqrt,1,10,200,6,2
0.8345864661654135,0.3125,0.16541353383458646,5.962108079402837,gini,sqrt,1,10,200,6,3
0.8270676691729323,0.25806451612903225,0.17293233082706766,6.233112992102965,gini,sqrt,1,10,100,6,4
0.8646616541353384,0.5,0.13533834586466165,4.878088428602322,entropy,sqrt,1,10,200,6,5
0.8646616541353384,0.5,0.13533834586466165,4.878088428602322,gini,sqrt,1,10,200,6,6
0.849624060150376,0.4444444444444444,0.15037593984962405,5.420098254002579,gini,sqrt,1,2,200,6,7
0.8421052631578947,0.4,0.15789473684210525,5.6911031667027085,gini,log2,1,2,100,6,8
0.8646616541353384,0.5263157894736842,0.13533834586466165,4.878088428602322,gini,sqrt,1,10,100,6,9
0.85,0.4375,0.15,5.406548008367573,gini,log2,1,2,200,7,0
0.8166666666666667,0.21428571428571427,0.18333333333333332,6.608003121338145,gini,sqrt,1,2,200,7,1
0.8583333333333333,0.48484848484848486,0.14166666666666666,5.10618423012493,gini,sqrt,1,2,200,7,2
0.825,0.27586206896551724,0.175,6.307639343095502,gini,sqrt,1,10,100,7,3
0.8333333333333334,0.3333333333333333,0.16666666666666666,6.007275564852859,gini,sqrt,1,2,200,7,4
0.85,0.47058823529411764,0.15,5.406548008367573,gini,log2,1,2,100,7,5
0.85,0.47058823529411764,0.15,5.406548008367573,gini,sqrt,1,2,100,7,6
0.8319327731092437,0.2857142857142857,0.16806722689075632,6.05775687212053,gini,log2,1,10,100,7,7
0.8739495798319328,0.5454545454545454,0.12605042016806722,4.543317654090398,gini,sqrt,1,10,100,7,8
0.8403361344537815,0.3870967741935484,0.15966386554621848,5.754869028514503,gini,log2,1,10,200,7,9
0.8240740740740741,0.24,0.17592592592592593,6.341013096233573,gini,sqrt,1,10,200,8,0
0.8240740740740741,0.2962962962962963,0.17592592592592593,6.341013096233573,gini,sqrt,1,10,200,8,1
0.8240740740740741,0.24,0.17592592592592593,6.341013096233573,gini,log2,1,2,200,8,2
0.8148148148148148,0.375,0.18518518518518517,6.674750627614286,gini,sqrt,1,10,100,8,3
0.8333333333333334,0.3076923076923077,0.16666666666666666,6.007275564852859,gini,sqrt,1,10,200,8,4
0.8148148148148148,0.23076923076923078,0.18518518518518517,6.674750627614287,gini,sqrt,1,2,200,8,5
0.8333333333333334,0.3076923076923077,0.16666666666666666,6.0072755648528595,entropy,log2,1,2,100,8,6
0.8611111111111112,0.4827586206896552,0.1388888888888889,5.006062970710716,gini,sqrt,1,10,200,8,7
0.8317757009345794,0.25,0.16822429906542055,6.063418327141203,gini,log2,1,2,100,8,8
0.8037383177570093,0.16,0.19626168224299065,7.073988048331405,gini,sqrt,1,2,200,8,9
0.8163265306122449,0.18181818181818182,0.1836734693877551,6.620262867388865,gini,log2,1,10,200,9,0
0.865979381443299,0.48,0.13402061855670103,4.830592722252815,gini,log2,1,10,200,9,1
0.8350515463917526,0.2727272727272727,0.16494845360824742,5.945344888926541,gini,log2,1,2,200,9,2
0.8247422680412371,0.32,0.17525773195876287,6.31692894448445,gini,sqrt,1,10,100,9,3
0.8144329896907216,0.18181818181818182,0.18556701030927836,6.6885130000423585,gini,sqrt,1,2,100,9,4
0.845360824742268,0.4444444444444444,0.15463917525773196,5.573760833368631,entropy,sqrt,1,2,200,9,5
0.8041237113402062,0.24,0.1958762886597938,7.0600970556002665,gini,sqrt,1,10,200,9,6
0.8350515463917526,0.3333333333333333,0.16494845360824742,5.94534488892654,gini,log2,1,2,200,9,7
0.8350515463917526,0.3333333333333333,0.16494845360824742,5.945344888926541,entropy,sqrt,1,2,200,9,8
