accuracy,f1_score,brier_score,log_loss,C,repeat,fold
0.803,0.799184505606524,0.197,7.1005997176560784,0.1,0,0
0.814,0.8187134502923976,0.186,6.704119530375791,1.0,0,1
0.791,0.8007626310772163,0.209,7.533123558325484,0.1,0,2
0.818,0.818,0.182,6.5599449168193225,0.1,0,3
0.8,0.7963340122199593,0.2,7.20873067782343,1.0,0,4
0.805,0.7979274611398963,0.195,7.028512410877846,10.0,0,5
0.818,0.814663951120163,0.182,6.559944916819322,1.0,0,6
0.823,0.8276533592989289,0.177,6.379726649873735,0.1,0,7
0.808,0.80990099009901,0.192,6.920381450710494,0.1,0,8
0.803,0.799184505606524,0.197,7.1005997176560784,0.1,0,9
0.798,0.8,0.202,7.280817984601665,1.0,1,0
0.804,0.8070866141732284,0.196,7.064556064266963,1.0,1,1
0.814,0.8180039138943248,0.186,6.704119530375791,0.1,1,2
0.807,0.8040609137055837,0.193,6.95642510409961,1.0,1,3
0.795,0.7897435897435897,0.205,7.388948944769017,0.1,1,4
0.807,0.7991675338189386,0.193,6.95642510409961,0.1,1,5
0.82,0.8221343873517787,0.18,6.487857610041087,1.0,1,6
0.816,0.8156312625250501,0.184,6.632032223597556,0.1,1,7
0.811,0.8092835519677094,0.189,6.812250490543142,0.1,1,8
0.816,0.8199608610567515,0.184,6.632032223597556,0.1,1,9
0.806,0.7962184873949579,0.194,6.9924687574887265,1.0,2,0
0.831,0.8291203235591507,0.169,6.091377422760799,1.0,2,1
0.815,0.8188050930460333,0.185,6.6680758769866735,1.0,2,2
0.82,0.82,0.18,6.487857610041088,0.1,2,3
0.797,0.8083097261567517,0.203,7.316861637990781,10.0,2,4
0.793,0.7976539589442815,0.207,7.461036251547251,0.1,2,5
0.808,0.8004158004158004,0.192,6.920381450710494,1.0,2,6
0.789,0.7844739530132788,0.211,7.605210865103718,10.0,2,7
0.832,0.8362573099415205,0.168,6.055333769371682,0.1,2,8
0.81,0.8111332007952287,0.19,6.848294143932259,10.0,2,9
0.828,0.8307086614173228,0.172,6.19950838292815,1.0,3,0
0.798,0.798804780876494,0.202,7.280817984601665,10.0,3,1
0.809,0.811078140454995,0.191,6.884337797321376,1.0,3,2
0.797,0.8019512195121952,0.203,7.316861637990782,0.1,3,3
0.817,0.8123076923076923,0.183,6.59598857020844,10.0,3,4
0.831,0.8248704663212435,0.169,6.091377422760799,1.0,3,5
0.823,0.8180883864337102,0.177,6.379726649873736,1.0,3,6
0.803,0.8062930186823992,0.197,7.100599717656079,1.0,3,7
0.789,0.7844739530132788,0.211,7.605210865103719,1.0,3,8
0.804,0.8115384615384615,0.196,7.064556064266961,0.1,3,9
0.818,0.8176352705410822,0.182,6.5599449168193225,1.0,4,0
0.803,0.7975334018499486,0.197,7.100599717656079,0.1,4,1
0.817,0.8160804020100503,0.183,6.59598857020844,0.1,4,2
0.815,0.8129423660262892,0.185,6.668075876986673,0.1,4,3
0.81,0.8158914728682171,0.19,6.848294143932259,10.0,4,4
0.808,0.8076152304609219,0.192,6.920381450710494,10.0,4,5
0.813,0.8105369807497467,0.187,6.740163183764907,10.0,4,6
0.785,0.7847847847847848,0.215,7.749385478660188,1.0,4,7
0.819,0.81511746680286,0.181,6.523901263430204,1.0,4,8
0.811,0.8222013170272813,0.189,6.812250490543142,0.1,4,9
0.822,0.8187372708757638,0.178,6.415770303262853,1.0,5,0
0.805,0.7987616099071208,0.195,7.028512410877846,1.0,5,1
0.811,0.823199251637044,0.189,6.812250490543142,0.1,5,2
0.824,0.821501014198783,0.176,6.3436829964846195,10.0,5,3
0.778,0.7766599597585513,0.222,8.001691052384007,1.0,5,4
0.803,0.7995930824008138,0.197,7.100599717656079,0.1,5,5
0.798,0.795959595959596,0.202,7.280817984601665,10.0,5,6
0.833,0.8417061611374408,0.167,6.019290115982565,0.1,5,7
0.804,0.7995910020449898,0.196,7.064556064266961,1.0,5,8
0.804,0.805940594059406,0.196,7.064556064266963,0.1,5,9
0.821,0.8229475766567754,0.179,6.4518139566519705,0.1,6,0
0.819,0.8220255653883972,0.181,6.523901263430204,1.0,6,1
0.816,0.8126272912423625,0.184,6.632032223597556,0.1,6,2
0.809,0.8080402010050252,0.191,6.8843377973213755,0.1,6,3
0.801,0.8047105004906772,0.199,7.172687024434314,0.1,6,4
0.822,0.8172484599589322,0.178,6.415770303262852,10.0,6,5
0.795,0.7927199191102123,0.205,7.388948944769016,1.0,6,6
0.802,0.8051181102362205,0.198,7.136643371045197,0.1,6,7
0.803,0.805528134254689,0.197,7.100599717656079,1.0,6,8
0.799,0.79839518555667,0.201,7.244774331212548,0.1,6,9
0.827,0.8292201382033564,0.173,6.235552036317268,10.0,7,0
0.805,0.8012232415902141,0.195,7.028512410877845,10.0,7,1
0.807,0.8094768015794669,0.193,6.95642510409961,1.0,7,2
0.796,0.7951807228915663,0.204,7.352905291379899,10.0,7,3
0.834,0.8397683397683398,0.166,5.983246462593447,1.0,7,4
0.81,0.8049281314168378,0.19,6.848294143932258,10.0,7,5
0.803,0.8070519098922625,0.197,7.100599717656079,1.0,7,6
0.814,0.8225190839694656,0.186,6.704119530375791,0.1,7,7
0.802,0.792016806722689,0.198,7.136643371045197,1.0,7,8
0.798,0.7938775510204081,0.202,7.280817984601665,0.1,7,9
0.787,0.7977207977207977,0.213,7.6772981718819535,0.1,8,0
0.805,0.8032290615539859,0.195,7.028512410877845,0.1,8,1
0.807,0.8071928071928072,0.193,6.956425104099611,0.1,8,2
0.82,0.8151950718685832,0.18,6.487857610041087,0.1,8,3
0.812,0.8097165991902834,0.188,6.7762068371540245,0.1,8,4
0.803,0.8070519098922625,0.197,7.1005997176560784,0.1,8,5
0.809,0.8091908091908092,0.191,6.884337797321376,0.1,8,6
0.842,0.8441814595660749,0.158,5.69489723548051,0.1,8,7
0.81,0.8158914728682171,0.19,6.848294143932259,1.0,8,8
0.798,0.7809110629067245,0.202,7.280817984601665,1.0,8,9
0.815,0.8209099709583737,0.185,6.6680758769866735,0.1,9,0
0.808,0.8024691358024691,0.192,6.920381450710493,10.0,9,1
0.81,0.8049281314168378,0.19,6.848294143932258,0.1,9,2
0.78,0.7727272727272727,0.22,7.929603745605773,1.0,9,3
0.817,0.8265402843601896,0.183,6.595988570208439,1.0,9,4
0.816,0.8148893360160966,0.184,6.632032223597556,0.1,9,5
0.81,0.806910569105691,0.19,6.848294143932258,10.0,9,6
0.803,0.8031968031968032,0.197,7.100599717656079,10.0,9,7
0.815,0.8202137998056366,0.185,6.6680758769866735,10.0,9,8
0.825,0.8230535894843276,0.175,6.307639343095502,0.1,9,9
