accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,repeat,fold
0.756,0.7607843137254902,0.244,8.794651426944585,gini,,15,14,7,0
0.753,0.7435098650051921,0.247,8.902782387111936,entropy,,15,6,7,1
0.769,0.7768115942028986,0.231,8.326083932886062,gini,,15,2,7,2
0.757,0.7596439169139466,0.243,8.758607773555468,gini,,15,2,7,3
0.749,0.7522211253701876,0.251,9.046957000668407,entropy,,1,2,7,4
0.77,0.764344262295082,0.23,8.290040279496946,entropy,,15,2,7,5
0.762,0.7600806451612904,0.238,8.578389506609883,gini,,15,2,7,6
0.789,0.8007554296506137,0.211,7.60521086510372,gini,,15,14,7,7
0.761,0.7492130115424974,0.239,8.614433159999,gini,,15,14,7,8
0.76,0.7494780793319415,0.24,8.650476813388115,entropy,,15,14,7,9
0.763,0.7727708533077661,0.237,8.542345853220766,entropy,,15,2,8,0
0.769,0.7724137931034483,0.231,8.326083932886062,gini,,15,6,8,1
0.767,0.7676969092721835,0.233,8.398171239664297,entropy,,15,2,8,2
0.769,0.7654822335025381,0.231,8.326083932886062,gini,,15,6,8,3
0.782,0.7837301587301587,0.218,7.857516438827539,gini,,15,14,8,4
0.765,0.7684729064039408,0.235,8.470258546442532,gini,,15,2,8,5
0.78,0.7731958762886598,0.22,7.929603745605774,gini,,15,14,8,6
0.762,0.7586206896551724,0.238,8.57838950660988,gini,,15,14,8,7
0.779,0.7792207792207793,0.221,7.965647398994892,gini,,7,6,8,8
0.761,0.7438370846730975,0.239,8.614433159999,gini,,15,14,8,9
0.771,0.7778855480116392,0.229,8.253996626107828,gini,,15,2,9,0
0.774,0.7670103092783506,0.226,8.145865665940477,gini,,15,14,9,1
0.76,0.7565922920892495,0.24,8.650476813388117,gini,,15,6,9,2
0.745,0.7318611987381703,0.255,9.191131614224872,entropy,,15,14,9,3
0.759,0.76981852913085,0.241,8.686520466777234,entropy,,15,2,9,4
0.778,0.7788844621513944,0.222,8.001691052384007,entropy,,15,14,9,5
0.772,0.7668711656441718,0.228,8.217952972718711,gini,,15,2,9,6
0.756,0.7579365079365079,0.244,8.794651426944585,gini,,15,2,9,7
0.784,0.788235294117647,0.216,7.7854291320493045,gini,,15,6,9,8
0.767,0.7610256410256411,0.233,8.398171239664297,gini,,15,6,9,9
