accuracy,f1_score,brier_score,log_loss,C,repeat,fold
0.84,0.84,0.16,5.7669845422587445,0.001,0,0
0.87,0.8785046728971962,0.13,4.685674940585229,0.001,0,1
0.78,0.7962962962962963,0.22,7.929603745605774,0.001,0,2
0.77,0.7415730337078652,0.23,8.290040279496944,0.001,0,3
0.81,0.7865168539325843,0.19,6.848294143932259,0.001,0,4
0.88,0.88,0.12,4.325238406694059,0.001,0,5
0.78,0.7962962962962963,0.22,7.929603745605774,0.001,0,6
0.82,0.82,0.18,6.487857610041087,0.001,0,7
0.79,0.7835051546391752,0.21,7.569167211714602,0.001,0,8
0.8,0.8113207547169812,0.2,7.20873067782343,0.001,0,9
0.74,0.7291666666666666,0.26,9.37134988117046,0.001,1,0
0.78,0.7924528301886793,0.22,7.929603745605774,0.001,1,1
0.76,0.7857142857142857,0.24,8.650476813388117,0.001,1,2
0.83,0.8349514563106796,0.17,6.127421076149916,0.001,1,3
0.84,0.8297872340425532,0.16,5.7669845422587445,0.001,1,4
0.78,0.725,0.22,7.929603745605773,0.001,1,5
0.75,0.7422680412371134,0.25,9.010913347279288,0.001,1,6
0.81,0.8041237113402062,0.19,6.848294143932259,0.001,1,7
0.77,0.7578947368421053,0.23,8.290040279496946,0.001,1,8
0.83,0.8411214953271028,0.17,6.127421076149916,0.001,1,9
0.79,0.8141592920353983,0.21,7.5691672117146025,0.001,2,0
0.81,0.8,0.19,6.848294143932259,0.001,2,1
0.83,0.8210526315789474,0.17,6.127421076149916,0.001,2,2
0.81,0.819047619047619,0.19,6.848294143932259,0.001,2,3
0.76,0.75,0.24,8.650476813388117,0.001,2,4
0.8,0.8113207547169812,0.2,7.20873067782343,0.001,2,5
0.78,0.7843137254901961,0.22,7.929603745605773,0.001,2,6
0.84,0.8461538461538461,0.16,5.7669845422587445,0.001,2,7
0.84,0.8222222222222222,0.16,5.7669845422587445,0.001,2,8
0.82,0.8125,0.18,6.487857610041087,0.001,2,9
0.88,0.88,0.12,4.325238406694059,0.001,3,0
0.77,0.7766990291262136,0.23,8.290040279496944,0.001,3,1
0.86,0.8571428571428571,0.14,5.046111474476402,0.001,3,2
0.73,0.7157894736842105,0.27,9.731786415061631,0.001,3,3
0.81,0.759493670886076,0.19,6.848294143932259,0.001,3,4
0.85,0.8543689320388349,0.15,5.406548008367572,0.001,3,5
0.84,0.7948717948717948,0.16,5.7669845422587445,0.001,3,6
0.82,0.847457627118644,0.18,6.487857610041087,0.001,3,7
0.84,0.8571428571428571,0.16,5.7669845422587445,0.001,3,8
0.79,0.8037383177570093,0.21,7.569167211714602,0.001,3,9
0.8,0.8113207547169812,0.2,7.20873067782343,0.001,4,0
0.75,0.782608695652174,0.25,9.010913347279287,0.001,4,1
0.81,0.8041237113402062,0.19,6.848294143932259,0.001,4,2
0.85,0.845360824742268,0.15,5.406548008367573,0.001,4,3
0.76,0.75,0.24,8.650476813388117,0.001,4,4
0.8,0.7777777777777778,0.2,7.20873067782343,0.001,4,5
0.81,0.8041237113402062,0.19,6.848294143932259,0.001,4,6
0.83,0.8349514563106796,0.17,6.127421076149916,0.001,4,7
0.8,0.803921568627451,0.2,7.20873067782343,0.001,4,8
0.77,0.7294117647058823,0.23,8.290040279496944,0.001,4,9
0.75,0.7422680412371134,0.25,9.010913347279288,0.001,5,0
0.73,0.7610619469026548,0.27,9.731786415061631,0.001,5,1
0.79,0.7789473684210526,0.21,7.5691672117146025,0.001,5,2
0.78,0.7884615384615384,0.22,7.929603745605773,0.001,5,3
0.81,0.7956989247311828,0.19,6.848294143932259,0.001,5,4
0.8,0.8305084745762712,0.2,7.20873067782343,0.001,5,5
0.8,0.7777777777777778,0.2,7.20873067782343,0.001,5,6
0.72,0.6744186046511628,0.28,10.092222948952804,0.001,5,7
0.83,0.8247422680412371,0.17,6.127421076149916,0.001,5,8
0.83,0.8247422680412371,0.17,6.127421076149916,0.001,5,9
0.83,0.8282828282828283,0.17,6.127421076149915,0.001,6,0
0.79,0.8,0.21,7.569167211714602,0.001,6,1
0.75,0.7368421052631579,0.25,9.010913347279288,0.001,6,2
0.81,0.8,0.19,6.84829414393226,0.001,6,3
0.79,0.7961165048543689,0.21,7.569167211714602,0.001,6,4
0.83,0.8172043010752689,0.17,6.127421076149916,0.001,6,5
0.82,0.8333333333333334,0.18,6.487857610041087,0.001,6,6
0.79,0.7586206896551724,0.21,7.569167211714602,0.001,6,7
0.79,0.8073394495412844,0.21,7.569167211714602,0.001,6,8
0.76,0.7735849056603774,0.24,8.650476813388117,0.001,6,9
0.87,0.8828828828828829,0.13,4.68567494058523,0.001,7,0
0.83,0.8282828282828283,0.17,6.127421076149916,0.001,7,1
0.79,0.8037383177570093,0.21,7.5691672117146025,0.001,7,2
0.75,0.7663551401869159,0.25,9.010913347279287,0.001,7,3
0.76,0.7818181818181819,0.24,8.650476813388115,0.001,7,4
0.73,0.6896551724137931,0.27,9.731786415061631,0.001,7,5
0.88,0.8775510204081632,0.12,4.325238406694059,0.001,7,6
0.85,0.8314606741573034,0.15,5.406548008367572,0.001,7,7
0.8,0.8148148148148148,0.2,7.208730677823431,0.001,7,8
0.74,0.7346938775510204,0.26,9.37134988117046,0.001,7,9
0.85,0.8648648648648649,0.15,5.406548008367573,0.001,8,0
0.8,0.7674418604651163,0.2,7.20873067782343,0.001,8,1
0.76,0.76,0.24,8.650476813388115,0.001,8,2
0.8,0.7916666666666666,0.2,7.20873067782343,0.001,8,3
0.77,0.7676767676767676,0.23,8.290040279496944,0.001,8,4
0.77,0.7889908256880734,0.23,8.290040279496946,0.001,8,5
0.81,0.8080808080808081,0.19,6.848294143932259,0.001,8,6
0.78,0.7755102040816326,0.22,7.929603745605774,0.001,8,7
0.72,0.6888888888888889,0.28,10.092222948952802,0.001,8,8
0.84,0.8545454545454545,0.16,5.7669845422587445,0.001,8,9
0.85,0.8623853211009175,0.15,5.406548008367573,0.001,9,0
0.78,0.78,0.22,7.929603745605773,0.001,9,1
0.85,0.845360824742268,0.15,5.406548008367573,0.001,9,2
0.82,0.8085106382978723,0.18,6.487857610041087,0.001,9,3
0.8,0.7777777777777778,0.2,7.208730677823431,0.001,9,4
0.8,0.8214285714285714,0.2,7.20873067782343,0.001,9,5
0.81,0.7764705882352941,0.19,6.848294143932259,0.001,9,6
0.86,0.86,0.14,5.046111474476401,0.001,9,7
0.8,0.8148148148148148,0.2,7.20873067782343,0.001,9,8
0.82,0.82,0.18,6.487857610041087,0.001,9,9
