accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,repeat,fold
0.73,0.7428571428571429,0.27,9.731786415061631,gini,,7,6,0,0
0.73,0.7428571428571429,0.27,9.731786415061631,gini,,15,14,0,1
0.71,0.7184466019417476,0.29,10.452659482843973,gini,,15,2,0,2
0.72,0.6888888888888889,0.28,10.092222948952802,gini,,1,6,0,3
0.64,0.625,0.36,12.975715220082177,entropy,,1,2,0,4
0.72,0.72,0.28,10.092222948952804,gini,,15,2,0,5
0.63,0.6407766990291263,0.37,13.336151753973347,gini,,1,2,0,6
0.72,0.7083333333333334,0.28,10.092222948952802,entropy,,1,2,0,7
0.74,0.7291666666666666,0.26,9.371349881170458,gini,,15,6,0,8
0.71,0.7128712871287128,0.29,10.452659482843977,entropy,,1,14,0,9
0.68,0.7090909090909091,0.32,11.533969084517489,entropy,,1,2,1,0
0.65,0.6391752577319587,0.35,12.615278686191004,gini,,1,2,1,1
0.69,0.7047619047619048,0.31,11.173532550626316,gini,,1,6,1,2
0.64,0.6538461538461539,0.36,12.975715220082174,gini,,1,6,1,3
0.72,0.7254901960784313,0.28,10.092222948952804,gini,,7,14,1,4
0.75,0.7311827956989247,0.25,9.010913347279288,gini,,15,6,1,5
0.73,0.7272727272727273,0.27,9.731786415061631,gini,,7,14,1,6
0.76,0.7333333333333333,0.24,8.650476813388117,gini,,15,2,1,7
0.63,0.5842696629213483,0.37,13.336151753973347,gini,sqrt,7,6,1,8
0.69,0.693069306930693,0.31,11.17353255062632,entropy,,1,14,1,9
0.72,0.7543859649122807,0.28,10.092222948952802,entropy,,15,14,2,0
0.72,0.6818181818181818,0.28,10.092222948952802,gini,,15,14,2,1
0.7,0.6938775510204082,0.3,10.813096016735146,gini,,15,14,2,2
0.81,0.7912087912087912,0.19,6.848294143932259,entropy,,7,14,2,3
0.65,0.6601941747572816,0.35,12.615278686191003,entropy,,15,2,2,4
0.7,0.7,0.3,10.813096016735148,entropy,,1,2,2,5
0.68,0.673469387755102,0.32,11.53396908451749,gini,,1,2,2,6
0.65,0.631578947368421,0.35,12.615278686191004,gini,,1,14,2,7
0.69,0.6593406593406593,0.31,11.173532550626316,gini,,7,2,2,8
0.73,0.7378640776699029,0.27,9.731786415061631,gini,,7,2,2,9
0.71,0.7010309278350515,0.29,10.452659482843973,entropy,,15,6,3,0
0.59,0.594059405940594,0.41,14.777897889538036,gini,sqrt,15,14,3,1
0.66,0.6304347826086957,0.34,12.254842152299831,entropy,,1,6,3,2
0.71,0.6813186813186813,0.29,10.452659482843973,gini,,7,2,3,3
0.65,0.6067415730337079,0.35,12.615278686191004,entropy,,1,6,3,4
0.63,0.6407766990291263,0.37,13.336151753973347,gini,,1,2,3,5
0.71,0.6506024096385542,0.29,10.452659482843973,gini,,7,2,3,6
0.71,0.7603305785123967,0.29,10.452659482843977,entropy,,7,6,3,7
0.72,0.7307692307692307,0.28,10.092222948952802,entropy,,7,2,3,8
0.69,0.7256637168141593,0.31,11.17353255062632,gini,,15,2,3,9
0.7,0.7115384615384616,0.3,10.813096016735146,gini,,15,2,4,0
0.68,0.7288135593220338,0.32,11.53396908451749,gini,,15,2,4,1
0.71,0.6813186813186813,0.29,10.452659482843973,entropy,,1,2,4,2
0.71,0.7289719626168224,0.29,10.452659482843973,gini,,1,14,4,3
0.7,0.6938775510204082,0.3,10.813096016735145,gini,,15,14,4,4
0.76,0.7333333333333333,0.24,8.650476813388117,entropy,,15,2,4,5
0.71,0.7238095238095238,0.29,10.452659482843973,gini,,7,14,4,6
0.7,0.6875,0.3,10.813096016735146,entropy,,1,2,4,7
