accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,repeat,fold
0.75,0.7368421052631579,0.25,9.010913347279288,gini,sqrt,7,2,0,0
0.5,0.4444444444444444,0.5,18.021826694558577,gini,,1,14,0,1
0.6,0.6,0.4,14.41746135564686,entropy,sqrt,1,14,0,2
0.75,0.7368421052631579,0.25,9.010913347279288,gini,sqrt,1,2,0,3
0.8,0.75,0.2,7.20873067782343,entropy,sqrt,1,6,0,4
0.7,0.7272727272727273,0.3,10.813096016735145,gini,sqrt,7,6,0,5
0.8,0.7777777777777778,0.2,7.20873067782343,entropy,sqrt,7,6,0,6
0.7,0.625,0.3,10.813096016735145,gini,,7,2,0,7
0.7,0.75,0.3,10.813096016735146,entropy,,15,2,0,8
0.5,0.5833333333333334,0.5,18.021826694558577,gini,,7,14,0,9
0.65,0.5882352941176471,0.35,12.615278686191004,entropy,,1,14,1,0
0.55,0.5714285714285714,0.45,16.219644025102717,entropy,,7,14,1,1
0.65,0.5333333333333333,0.35,12.615278686191001,entropy,,1,6,1,2
0.65,0.6956521739130435,0.35,12.615278686191004,gini,,1,2,1,3
0.75,0.7368421052631579,0.25,9.010913347279288,gini,,1,14,1,4
0.65,0.6956521739130435,0.35,12.615278686191004,entropy,,1,6,1,5
0.55,0.47058823529411764,0.45,16.219644025102717,gini,sqrt,15,14,1,6
0.6,0.5,0.4,14.41746135564686,gini,sqrt,7,6,1,7
0.45,0.47619047619047616,0.55,19.824009364014433,entropy,,1,6,1,8
0.5,0.375,0.5,18.021826694558577,gini,,1,2,1,9
0.75,0.7058823529411765,0.25,9.010913347279288,gini,,1,14,2,0
0.6,0.5555555555555556,0.4,14.417461355646859,entropy,sqrt,15,14,2,1
0.65,0.631578947368421,0.35,12.615278686191004,gini,,1,2,2,2
0.65,0.631578947368421,0.35,12.615278686191001,gini,sqrt,7,14,2,3
0.5,0.375,0.5,18.021826694558577,entropy,sqrt,7,2,2,4
0.45,0.56,0.55,19.824009364014433,entropy,,15,2,2,5
0.6,0.5555555555555556,0.4,14.41746135564686,gini,,7,6,2,6
0.65,0.5333333333333333,0.35,12.615278686191001,entropy,,1,14,2,7
0.55,0.5714285714285714,0.45,16.219644025102717,entropy,sqrt,1,6,2,8
0.6,0.6363636363636364,0.4,14.417461355646859,entropy,sqrt,15,2,2,9
0.65,0.6956521739130435,0.35,12.615278686191004,entropy,sqrt,15,14,3,0
0.55,0.47058823529411764,0.45,16.219644025102717,gini,,1,14,3,1
0.55,0.5263157894736842,0.45,16.219644025102717,gini,sqrt,7,14,3,2
0.55,0.6086956521739131,0.45,16.219644025102717,entropy,,1,2,3,3
0.6,0.5,0.4,14.41746135564686,entropy,,1,6,3,4
0.7,0.75,0.3,10.813096016735145,entropy,,7,14,3,5
0.55,0.47058823529411764,0.45,16.219644025102717,gini,sqrt,1,14,3,6
0.5,0.5,0.5,18.021826694558577,entropy,sqrt,1,2,3,7
0.65,0.6666666666666666,0.35,12.615278686191004,gini,,7,2,3,8
0.65,0.6666666666666666,0.35,12.615278686191001,entropy,sqrt,7,14,3,9
0.7,0.75,0.3,10.813096016735146,entropy,sqrt,7,2,4,0
0.75,0.7058823529411765,0.25,9.010913347279288,gini,,7,6,4,1
0.45,0.35294117647058826,0.55,19.824009364014433,entropy,sqrt,1,14,4,2
0.7,0.7,0.3,10.813096016735145,entropy,sqrt,1,6,4,3
0.6,0.6,0.4,14.41746135564686,entropy,,1,6,4,4
0.8,0.8461538461538461,0.2,7.20873067782343,entropy,sqrt,7,6,4,5
0.65,0.631578947368421,0.35,12.615278686191004,entropy,sqrt,1,2,4,6
0.8,0.75,0.2,7.20873067782343,gini,,1,6,4,7
0.6,0.6363636363636364,0.4,14.41746135564686,entropy,,1,6,4,8
0.6,0.5555555555555556,0.4,14.41746135564686,entropy,,7,2,4,9
0.75,0.7368421052631579,0.25,9.010913347279288,gini,sqrt,7,6,5,0
0.7,0.6666666666666666,0.3,10.813096016735145,entropy,sqrt,15,2,5,1
0.55,0.6086956521739131,0.45,16.219644025102717,gini,sqrt,7,14,5,2
0.6,0.5555555555555556,0.4,14.41746135564686,entropy,sqrt,7,14,5,3
0.55,0.5263157894736842,0.45,16.219644025102717,entropy,,7,2,5,4
0.85,0.88,0.15,5.406548008367573,gini,,7,2,5,5
0.55,0.6086956521739131,0.45,16.219644025102717,gini,,1,2,5,6
0.7,0.625,0.3,10.813096016735145,entropy,,1,6,5,7
0.7,0.7272727272727273,0.3,10.813096016735145,gini,,7,14,5,8
0.7,0.7,0.3,10.813096016735145,entropy,sqrt,15,14,5,9
0.4,0.25,0.6,21.62619203347029,entropy,sqrt,7,6,6,0
0.5,0.375,0.5,18.021826694558577,gini,sqrt,15,14,6,1
0.65,0.631578947368421,0.35,12.615278686191001,gini,,1,2,6,2
0.6,0.6666666666666666,0.4,14.41746135564686,entropy,sqrt,15,6,6,3
0.8,0.8181818181818182,0.2,7.20873067782343,gini,,7,2,6,4
0.65,0.631578947368421,0.35,12.615278686191001,gini,sqrt,7,2,6,5
0.45,0.42105263157894735,0.55,19.824009364014433,gini,,7,2,6,6
0.65,0.5333333333333333,0.35,12.615278686191004,entropy,,15,2,6,7
0.6,0.6,0.4,14.417461355646859,entropy,sqrt,1,2,6,8
0.7,0.7,0.3,10.813096016735146,gini,sqrt,1,14,6,9
0.55,0.5263157894736842,0.45,16.219644025102717,entropy,sqrt,1,14,7,0
0.5,0.4444444444444444,0.5,18.021826694558577,entropy,,1,2,7,1
0.45,0.26666666666666666,0.55,19.824009364014433,entropy,sqrt,1,14,7,2
0.4,0.45454545454545453,0.6,21.62619203347029,gini,sqrt,1,14,7,3
0.7,0.7,0.3,10.813096016735145,entropy,,1,2,7,4
0.75,0.782608695652174,0.25,9.010913347279288,gini,sqrt,7,2,7,5
0.75,0.7619047619047619,0.25,9.010913347279288,gini,,1,14,7,6
0.75,0.6666666666666666,0.25,9.010913347279288,gini,sqrt,7,2,7,7
0.7,0.7,0.3,10.813096016735145,gini,,1,2,7,8
0.5,0.5833333333333334,0.5,18.021826694558577,gini,sqrt,15,6,7,9
0.7,0.625,0.3,10.813096016735145,gini,sqrt,15,14,8,0
0.45,0.35294117647058826,0.55,19.824009364014433,gini,sqrt,15,14,8,1
0.55,0.5263157894736842,0.45,16.219644025102717,gini,,1,14,8,2
0.75,0.7619047619047619,0.25,9.010913347279288,gini,sqrt,1,14,8,3
0.55,0.5714285714285714,0.45,16.219644025102717,entropy,,1,14,8,4
0.5,0.5,0.5,18.021826694558577,entropy,sqrt,1,14,8,5
0.65,0.6956521739130435,0.35,12.615278686191004,gini,sqrt,15,6,8,6
0.45,0.42105263157894735,0.55,19.824009364014433,gini,sqrt,7,6,8,7
0.75,0.782608695652174,0.25,9.010913347279288,gini,,1,6,8,8
0.7,0.7692307692307693,0.3,10.813096016735146,gini,,15,14,8,9
0.6,0.6,0.4,14.41746135564686,entropy,sqrt,15,2,9,0
0.75,0.7058823529411765,0.25,9.010913347279288,entropy,,1,2,9,1
0.7,0.75,0.3,10.813096016735146,entropy,,1,14,9,2
0.75,0.7368421052631579,0.25,9.010913347279288,entropy,,1,2,9,3
0.45,0.35294117647058826,0.55,19.824009364014433,entropy,,1,6,9,4
0.55,0.5714285714285714,0.45,16.219644025102717,entropy,,7,6,9,5
0.75,0.7619047619047619,0.25,9.010913347279288,gini,,15,2,9,6
0.7,0.7,0.3,10.813096016735145,gini,,1,6,9,7
0.6,0.5,0.4,14.417461355646859,entropy,sqrt,1,2,9,8
0.75,0.782608695652174,0.25,9.010913347279288,entropy,sqrt,1,6,9,9
