accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,repeat,fold
0.776,0.7829457364341085,0.224,8.073778359162242,gini,,15,2,8,5
0.752,0.746938775510204,0.248,8.938826040501054,gini,,15,6,8,6
0.74,0.7470817120622568,0.26,9.37134988117046,entropy,,15,6,8,7
0.718,0.716297786720322,0.282,10.164310255731037,gini,,15,6,8,8
0.758,0.7695238095238095,0.242,8.722564120166352,gini,,15,14,8,9
0.738,0.7242105263157895,0.262,9.443437187948694,gini,,15,6,9,0
0.744,0.7547892720306514,0.256,9.22717526761399,gini,,15,6,9,1
0.72,0.7107438016528925,0.28,10.092222948952802,gini,,15,14,9,2
0.768,0.7563025210084033,0.232,8.362127586275179,gini,,15,14,9,3
0.748,0.7509881422924901,0.252,9.083000654057523,entropy,,15,14,9,4
0.746,0.7495069033530573,0.254,9.155087960835758,gini,,15,2,9,5
0.754,0.7525150905432596,0.246,8.86673873372282,entropy,,15,14,9,6
0.762,0.7724665391969407,0.238,8.578389506609883,entropy,,15,6,9,7
0.71,0.6947368421052632,0.29,10.452659482843973,entropy,,15,14,9,8
0.77,0.782608695652174,0.23,8.290040279496946,gini,,7,2,9,9
