accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.865,0.864321608040201,0.135,4.8658932075308154,gini,log2,1,2,200,0,0
0.881,0.8861244019138756,0.119,4.28919475330494,gini,log2,1,10,200,0,1
0.883,0.8909599254426841,0.117,4.217107446526707,gini,sqrt,1,2,200,0,2
0.885,0.8884578079534433,0.115,4.145020139748473,gini,sqrt,1,2,200,0,3
0.877,0.8748728382502543,0.123,4.43336936686141,entropy,log2,1,2,200,0,4
0.895,0.8957298907646475,0.105,3.7845836058573004,gini,log2,1,2,200,0,5
0.873,0.8721047331319235,0.127,4.577543980417879,gini,sqrt,1,2,200,0,6
0.909,0.9140698772426817,0.091,3.2799724584096612,entropy,log2,1,10,200,0,7
0.875,0.8785228377065112,0.125,4.505456673639643,entropy,log2,1,2,200,0,8
0.881,0.8820614469772051,0.119,4.28919475330494,gini,log2,1,10,200,0,9
0.872,0.8762088974854932,0.128,4.613587633806995,gini,sqrt,1,2,200,1,0
0.871,0.8736532810969637,0.129,4.6496312871961125,gini,sqrt,1,2,200,1,1
0.905,0.909437559580553,0.095,3.424147071966129,gini,log2,1,2,200,1,2
0.885,0.8869223205506391,0.115,4.145020139748473,entropy,log2,1,2,200,1,3
0.857,0.8559919436052367,0.143,5.154242434643753,gini,sqrt,1,2,200,1,4
0.884,0.8816326530612245,0.116,4.181063793137589,entropy,sqrt,1,2,200,1,5
0.888,0.8943396226415095,0.112,4.036889179581121,gini,log2,1,10,200,1,6
0.891,0.8911088911088911,0.109,3.9287582194137696,gini,log2,1,2,200,1,7
0.887,0.887785501489573,0.113,4.072932832970238,gini,log2,1,2,200,1,8
0.886,0.8888888888888888,0.114,4.108976486359356,entropy,sqrt,1,2,200,1,9
0.883,0.8795056642636457,0.117,4.217107446526707,gini,sqrt,1,2,200,2,0
0.894,0.896484375,0.106,3.8206272592464186,gini,log2,1,10,200,2,1
0.908,0.9132075471698113,0.092,3.316016111798778,gini,log2,1,2,200,2,2
0.869,0.8683417085427135,0.131,4.721718593974347,gini,log2,1,2,200,2,3
0.866,0.8740601503759399,0.134,4.829849554141699,entropy,log2,1,10,200,2,4
0.877,0.8822966507177034,0.123,4.4333693668614105,gini,log2,1,2,200,2,5
0.878,0.8747433264887063,0.122,4.397325713472292,entropy,log2,1,2,200,2,6
0.87,0.8678861788617886,0.13,4.68567494058523,entropy,log2,1,2,200,2,7
0.901,0.9037900874635568,0.099,3.5683216855225983,entropy,log2,1,2,200,2,8
0.876,0.8809980806142035,0.124,4.469413020250527,gini,log2,1,2,200,2,9
0.894,0.8958742632612967,0.106,3.8206272592464186,gini,log2,1,2,200,3,0
0.886,0.8897485493230174,0.114,4.108976486359356,gini,log2,1,10,200,3,1
0.879,0.8805528134254689,0.121,4.361282060083176,entropy,log2,1,2,200,3,2
0.88,0.8876404494382022,0.12,4.325238406694059,gini,log2,1,2,200,3,3
0.888,0.8852459016393442,0.112,4.036889179581121,entropy,log2,1,2,200,3,4
0.896,0.8925619834710744,0.104,3.7485399524681844,entropy,log2,1,2,200,3,5
0.874,0.8727272727272727,0.126,4.5415003270287615,entropy,log2,1,2,200,3,6
0.886,0.8905950095969289,0.114,4.108976486359356,entropy,log2,1,2,200,3,7
0.883,0.8838133068520357,0.117,4.217107446526707,entropy,log2,1,2,200,3,8
0.872,0.8801498127340824,0.128,4.613587633806995,gini,log2,1,2,200,3,9
0.884,0.8858267716535433,0.116,4.181063793137589,entropy,log2,1,2,200,4,0
0.893,0.892678034102307,0.107,3.8566709126355354,gini,log2,1,2,200,4,1
0.887,0.8884501480750246,0.113,4.072932832970238,entropy,sqrt,1,2,200,4,2
0.89,0.8875255623721882,0.11,3.964801872802887,entropy,log2,1,2,200,4,3
0.873,0.8787010506208214,0.127,4.577543980417879,entropy,log2,1,2,200,4,4
0.881,0.8836754643206256,0.119,4.28919475330494,gini,sqrt,1,2,200,4,5
0.889,0.8897715988083416,0.111,4.000845526192004,gini,sqrt,1,2,200,4,6
0.886,0.8888888888888888,0.114,4.108976486359356,gini,sqrt,1,2,200,4,7
0.878,0.8796844181459567,0.122,4.397325713472291,gini,sqrt,1,10,200,4,8
0.883,0.8907563025210085,0.117,4.217107446526707,entropy,log2,1,2,200,4,9
0.862,0.8625498007968128,0.138,4.974024167698166,gini,log2,1,10,200,5,0
0.888,0.8857142857142857,0.112,4.036889179581121,gini,log2,1,2,200,5,1
