accuracy,f1_score,brier_score,log_loss,C,repeat,fold
0.755,0.751269035532995,0.245,8.830695080333703,10.0,0,0
0.785,0.7794871794871795,0.215,7.749385478660188,0.001,0,1
0.76,0.7575757575757576,0.24,8.650476813388117,1.0,0,2
0.745,0.711864406779661,0.255,9.191131614224874,10.0,0,3
0.77,0.7766990291262136,0.23,8.290040279496946,0.001,0,4
0.82,0.8252427184466019,0.18,6.487857610041087,0.001,0,5
0.78,0.7821782178217822,0.22,7.929603745605773,0.001,0,6
0.825,0.8108108108108109,0.175,6.307639343095502,0.001,0,7
0.87,0.8631578947368421,0.13,4.685674940585231,0.001,0,8
0.785,0.7724867724867724,0.215,7.749385478660188,0.01,0,9
0.82,0.8181818181818182,0.18,6.487857610041087,0.001,0,0
0.765,0.7486631016042781,0.235,8.47025854644253,0.001,0,1
0.82,0.85,0.18,6.487857610041087,0.001,0,2
0.86,0.8585858585858586,0.14,5.046111474476402,0.001,0,3
0.77,0.7766990291262136,0.23,8.290040279496946,0.001,1,4
0.82,0.8252427184466019,0.18,6.487857610041087,0.001,1,5
0.78,0.7821782178217822,0.22,7.929603745605773,0.001,1,6
0.825,0.8108108108108109,0.175,6.307639343095502,0.001,1,7
0.87,0.8631578947368421,0.13,4.685674940585231,0.001,1,8
0.785,0.7724867724867724,0.215,7.749385478660188,0.01,1,9
0.82,0.8181818181818182,0.18,6.487857610041087,0.001,1,0
0.765,0.7486631016042781,0.235,8.47025854644253,0.001,1,1
0.82,0.85,0.18,6.487857610041087,0.001,1,2
0.86,0.8585858585858586,0.14,5.046111474476402,0.001,1,3
0.77,0.7766990291262136,0.23,8.290040279496946,0.001,2,4
0.82,0.8252427184466019,0.18,6.487857610041087,0.001,2,5
0.78,0.7821782178217822,0.22,7.929603745605773,0.001,2,6
0.825,0.8108108108108109,0.175,6.307639343095502,0.001,2,7
0.87,0.8631578947368421,0.13,4.685674940585231,0.001,2,8
0.785,0.7724867724867724,0.215,7.749385478660188,0.01,2,9
0.82,0.8181818181818182,0.18,6.487857610041087,0.001,2,0
0.765,0.7486631016042781,0.235,8.47025854644253,0.001,2,1
0.82,0.85,0.18,6.487857610041087,0.001,2,2
0.86,0.8585858585858586,0.14,5.046111474476402,0.001,2,3
0.77,0.7766990291262136,0.23,8.290040279496946,0.001,3,4
0.82,0.8252427184466019,0.18,6.487857610041087,0.001,3,5
0.78,0.7821782178217822,0.22,7.929603745605773,0.001,3,6
0.825,0.8108108108108109,0.175,6.307639343095502,0.001,3,7
0.87,0.8631578947368421,0.13,4.685674940585231,0.001,3,8
0.785,0.7724867724867724,0.215,7.749385478660188,0.01,3,9
0.82,0.8181818181818182,0.18,6.487857610041087,0.001,3,0
0.765,0.7486631016042781,0.235,8.47025854644253,0.001,3,1
0.82,0.85,0.18,6.487857610041087,0.001,3,2
0.86,0.8585858585858586,0.14,5.046111474476402,0.001,3,3
0.77,0.7766990291262136,0.23,8.290040279496946,0.001,4,4
0.82,0.8252427184466019,0.18,6.487857610041087,0.001,4,5
0.78,0.7821782178217822,0.22,7.929603745605773,0.001,4,6
0.825,0.8108108108108109,0.175,6.307639343095502,0.001,4,7
0.87,0.8631578947368421,0.13,4.685674940585231,0.001,4,8
0.785,0.7724867724867724,0.215,7.749385478660188,0.01,4,9
0.82,0.8181818181818182,0.18,6.487857610041087,0.001,4,0
0.765,0.7486631016042781,0.235,8.47025854644253,0.001,4,1
0.82,0.85,0.18,6.487857610041087,0.001,4,2
0.86,0.8585858585858586,0.14,5.046111474476402,0.001,4,3
0.77,0.7766990291262136,0.23,8.290040279496946,0.001,5,4
0.82,0.8252427184466019,0.18,6.487857610041087,0.001,5,5
0.78,0.7821782178217822,0.22,7.929603745605773,0.001,5,6
0.825,0.8108108108108109,0.175,6.307639343095502,0.001,5,7
0.87,0.8631578947368421,0.13,4.685674940585231,0.001,5,8
0.785,0.7724867724867724,0.215,7.749385478660188,0.01,5,9
0.82,0.8181818181818182,0.18,6.487857610041087,0.001,5,0
0.765,0.7486631016042781,0.235,8.47025854644253,0.001,5,1
0.82,0.85,0.18,6.487857610041087,0.001,5,2
0.86,0.8585858585858586,0.14,5.046111474476402,0.001,5,3
0.77,0.7766990291262136,0.23,8.290040279496946,0.001,6,4
0.82,0.8252427184466019,0.18,6.487857610041087,0.001,6,5
0.78,0.7821782178217822,0.22,7.929603745605773,0.001,6,6
0.825,0.8108108108108109,0.175,6.307639343095502,0.001,6,7
0.87,0.8631578947368421,0.13,4.685674940585231,0.001,6,8
0.785,0.7724867724867724,0.215,7.749385478660188,0.01,6,9
0.82,0.8181818181818182,0.18,6.487857610041087,0.001,6,0
0.765,0.7486631016042781,0.235,8.47025854644253,0.001,6,1
0.82,0.85,0.18,6.487857610041087,0.001,6,2
0.86,0.8585858585858586,0.14,5.046111474476402,0.001,6,3
0.77,0.7766990291262136,0.23,8.290040279496946,0.001,7,4
0.82,0.8252427184466019,0.18,6.487857610041087,0.001,7,5
0.78,0.7821782178217822,0.22,7.929603745605773,0.001,7,6
0.825,0.8108108108108109,0.175,6.307639343095502,0.001,7,7
0.87,0.8631578947368421,0.13,4.685674940585231,0.001,7,8
0.785,0.7724867724867724,0.215,7.749385478660188,0.01,7,9
0.82,0.8181818181818182,0.18,6.487857610041087,0.001,7,0
0.765,0.7486631016042781,0.235,8.47025854644253,0.001,7,1
0.82,0.85,0.18,6.487857610041087,0.001,7,2
0.86,0.8585858585858586,0.14,5.046111474476402,0.001,7,3
0.77,0.7766990291262136,0.23,8.290040279496946,0.001,8,4
0.82,0.8252427184466019,0.18,6.487857610041087,0.001,8,5
0.78,0.7821782178217822,0.22,7.929603745605773,0.001,8,6
0.825,0.8108108108108109,0.175,6.307639343095502,0.001,8,7
0.87,0.8631578947368421,0.13,4.685674940585231,0.001,8,8
0.785,0.7724867724867724,0.215,7.749385478660188,0.01,8,9
0.82,0.8181818181818182,0.18,6.487857610041087,0.001,8,0
0.765,0.7486631016042781,0.235,8.47025854644253,0.001,8,1
0.82,0.85,0.18,6.487857610041087,0.001,8,2
0.86,0.8585858585858586,0.14,5.046111474476402,0.001,8,3
0.77,0.7766990291262136,0.23,8.290040279496946,0.001,9,4
0.82,0.8252427184466019,0.18,6.487857610041087,0.001,9,5
0.78,0.7821782178217822,0.22,7.929603745605773,0.001,9,6
0.825,0.8108108108108109,0.175,6.307639343095502,0.001,9,7
0.87,0.8631578947368421,0.13,4.685674940585231,0.001,9,8
0.785,0.7724867724867724,0.215,7.749385478660188,0.01,9,9
0.82,0.8181818181818182,0.18,6.487857610041087,0.001,9,0
0.765,0.7486631016042781,0.235,8.47025854644253,0.001,9,1
0.82,0.85,0.18,6.487857610041087,0.001,9,2
0.86,0.8585858585858586,0.14,5.046111474476402,0.001,9,3
