accuracy,f1_score,brier_score,log_loss,C,repeat,fold
0.808,0.7983193277310925,0.192,6.920381450710494,0.001,3,2
0.778,0.7682672233820459,0.222,8.001691052384007,0.001,3,3
0.81,0.8133595284872298,0.19,6.848294143932258,0.001,3,4
0.782,0.7883495145631068,0.218,7.85751643882754,0.001,3,5
0.824,0.8158995815899581,0.176,6.3436829964846195,0.001,3,6
0.81,0.8111332007952287,0.19,6.848294143932259,0.001,3,7
0.808,0.8125,0.192,6.920381450710494,0.001,3,8
0.772,0.7888888888888889,0.228,8.217952972718711,0.001,3,9
0.786,0.7747368421052632,0.214,7.713341825271071,0.001,4,0
0.796,0.8068181818181818,0.204,7.352905291379899,0.001,4,1
0.782,0.7761806981519507,0.218,7.857516438827539,0.001,4,2
0.8,0.7916666666666666,0.2,7.20873067782343,0.001,4,3
0.804,0.8032128514056225,0.196,7.064556064266963,0.01,4,4
0.792,0.7984496124031008,0.208,7.497079904936367,0.001,4,5
0.84,0.8333333333333334,0.16,5.7669845422587445,0.001,4,6
0.826,0.8317214700193424,0.174,6.271595689706384,0.001,4,7
0.782,0.7752577319587629,0.218,7.85751643882754,0.001,4,8
0.782,0.7977736549165121,0.218,7.857516438827539,0.001,4,9
0.776,0.7723577235772358,0.224,8.073778359162242,0.001,5,0
0.774,0.7744510978043913,0.226,8.145865665940477,0.001,5,1
0.802,0.791578947368421,0.198,7.136643371045197,0.001,5,2
0.816,0.8059071729957806,0.184,6.632032223597556,0.001,5,3
0.81,0.8049281314168378,0.19,6.848294143932258,0.001,5,4
0.798,0.8097928436911488,0.202,7.280817984601665,0.001,5,5
0.818,0.8108108108108109,0.182,6.559944916819322,0.001,5,6
0.816,0.8257575757575758,0.184,6.632032223597556,0.001,5,7
0.818,0.8190854870775348,0.182,6.5599449168193225,0.001,5,8
0.812,0.8265682656826568,0.188,6.7762068371540245,0.001,5,9
0.82,0.8125,0.18,6.487857610041088,0.001,6,0
0.8,0.8091603053435115,0.2,7.20873067782343,0.001,6,1
0.814,0.802547770700637,0.186,6.704119530375791,0.001,6,2
0.78,0.7659574468085106,0.22,7.929603745605774,0.001,6,3
