accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.855,0.8497409326424871,0.145,5.226329741421987,gini,sqrt,1,10,200,0,0
0.835,0.8421052631578947,0.165,5.947202809204331,entropy,log2,1,2,200,0,1
0.87,0.8737864077669902,0.13,4.68567494058523,gini,sqrt,1,10,200,0,2
0.835,0.8307692307692308,0.165,5.94720280920433,gini,sqrt,1,2,200,0,3
0.87,0.8785046728971962,0.13,4.68567494058523,gini,log2,1,10,200,0,4
0.79,0.8,0.21,7.5691672117146025,gini,sqrt,1,10,100,0,5
0.835,0.8450704225352113,0.165,5.94720280920433,gini,sqrt,1,2,200,0,6
0.845,0.8359788359788359,0.155,5.58676627531316,entropy,sqrt,1,2,200,0,7
0.82,0.8285714285714286,0.18,6.487857610041087,gini,sqrt,1,2,200,0,8
0.87,0.8761904761904762,0.13,4.685674940585229,gini,sqrt,1,2,200,0,9
0.85,0.8543689320388349,0.15,5.406548008367573,entropy,sqrt,1,10,200,1,0
0.82,0.8085106382978723,0.18,6.487857610041087,gini,log2,1,2,200,1,1
0.88,0.8823529411764706,0.12,4.325238406694059,gini,log2,1,2,100,1,2
0.83,0.826530612244898,0.17,6.127421076149916,entropy,sqrt,1,2,100,1,3
0.845,0.845771144278607,0.155,5.586766275313158,entropy,sqrt,1,2,200,1,4
0.86,0.8526315789473684,0.14,5.046111474476401,gini,sqrt,1,2,200,1,5
0.85,0.8636363636363636,0.15,5.406548008367573,entropy,log2,1,10,200,1,6
0.81,0.8,0.19,6.848294143932259,entropy,log2,1,2,200,1,7
0.87,0.8645833333333334,0.13,4.685674940585231,entropy,log2,1,2,200,1,8
0.855,0.8765957446808511,0.145,5.226329741421987,entropy,log2,1,2,100,1,9
0.84,0.8461538461538461,0.16,5.7669845422587445,gini,sqrt,1,2,200,2,0
0.875,0.8847926267281107,0.125,4.505456673639644,entropy,log2,1,2,200,2,1
0.845,0.845771144278607,0.155,5.586766275313158,entropy,log2,1,2,200,2,2
0.875,0.8847926267281107,0.125,4.505456673639644,gini,log2,1,2,200,2,3
0.895,0.896551724137931,0.105,3.784583605857301,gini,sqrt,1,2,100,2,4
0.84,0.8415841584158416,0.16,5.7669845422587445,entropy,sqrt,1,2,200,2,5
0.885,0.8949771689497716,0.115,4.145020139748473,gini,sqrt,1,2,200,2,6
0.79,0.7741935483870968,0.21,7.5691672117146025,entropy,sqrt,1,2,100,2,7
0.86,0.8556701030927835,0.14,5.046111474476401,gini,sqrt,1,2,200,2,8
0.84,0.8476190476190476,0.16,5.7669845422587445,gini,sqrt,1,2,200,2,9
0.83,0.8482142857142857,0.17,6.1274210761499175,gini,sqrt,1,2,100,3,0
0.905,0.9107981220657277,0.095,3.4241470719661296,entropy,log2,1,2,200,3,1
0.86,0.8390804597701149,0.14,5.046111474476402,entropy,log2,1,10,200,3,2
0.81,0.8137254901960784,0.19,6.848294143932259,entropy,sqrt,1,2,200,3,3
0.835,0.847926267281106,0.165,5.94720280920433,gini,sqrt,1,2,200,3,4
0.865,0.8656716417910447,0.135,4.8658932075308154,gini,log2,1,10,200,3,5
0.82,0.8163265306122449,0.18,6.487857610041087,gini,sqrt,1,2,200,3,6
0.835,0.8405797101449275,0.165,5.94720280920433,entropy,sqrt,1,10,200,3,7
0.83,0.83,0.17,6.127421076149916,gini,log2,1,2,200,3,8
0.845,0.8359788359788359,0.155,5.586766275313158,entropy,sqrt,1,2,200,3,9
0.885,0.8878048780487805,0.115,4.145020139748473,entropy,log2,1,2,200,4,0
0.845,0.8472906403940886,0.155,5.586766275313158,gini,log2,1,10,200,4,1
0.895,0.9004739336492891,0.105,3.7845836058573012,gini,log2,1,2,200,4,2
0.85,0.8543689320388349,0.15,5.406548008367573,entropy,sqrt,1,2,200,4,3
0.88,0.883495145631068,0.12,4.325238406694058,gini,log2,1,2,100,4,4
0.865,0.8540540540540541,0.135,4.8658932075308154,gini,log2,1,2,200,4,5
0.9,0.900990099009901,0.1,3.604365338911715,entropy,log2,1,10,200,4,6
