accuracy,f1_score,brier_score,log_loss,C,repeat,fold
0.797,0.7805405405405406,0.203,7.316861637990781,0.001,8,9
0.811,0.8173913043478261,0.189,6.812250490543142,0.001,9,0
0.81,0.8049281314168378,0.19,6.848294143932258,0.001,9,1
0.81,0.8049281314168378,0.19,6.848294143932258,0.001,9,2
0.782,0.7747933884297521,0.218,7.857516438827539,0.001,9,3
0.816,0.8257575757575758,0.184,6.632032223597555,0.001,9,4
0.814,0.8132530120481928,0.186,6.704119530375791,0.001,9,5
0.811,0.8081218274111676,0.189,6.812250490543142,0.001,9,6
0.802,0.8027888446215139,0.198,7.136643371045197,0.001,9,7
0.814,0.8187134502923976,0.186,6.704119530375791,0.001,9,8
0.82,0.8181818181818182,0.18,6.487857610041088,0.001,9,9
