accuracy,f1_score,brier_score,log_loss,C,repeat,fold
0.8,0.8333333333333334,0.2,7.20873067782343,0.1,3,5
0.8,0.8181818181818182,0.2,7.20873067782343,0.1,3,6
0.8,0.75,0.2,7.20873067782343,1.0,3,7
0.75,0.7619047619047619,0.25,9.010913347279288,0.1,3,8
0.75,0.782608695652174,0.25,9.010913347279288,1.0,3,9
0.75,0.7619047619047619,0.25,9.010913347279288,0.1,4,0
0.9,0.875,0.1,3.604365338911715,0.1,4,1
0.65,0.5882352941176471,0.35,12.615278686191001,1.0,4,2
0.65,0.6956521739130435,0.35,12.615278686191004,10.0,4,3
0.7,0.625,0.3,10.813096016735145,0.1,4,4
0.85,0.8695652173913043,0.15,5.406548008367573,0.1,4,5
0.8,0.8181818181818182,0.2,7.20873067782343,1.0,4,6
0.5,0.375,0.5,18.021826694558577,0.1,4,7
0.85,0.88,0.15,5.406548008367573,0.1,4,8
0.8,0.7777777777777778,0.2,7.20873067782343,10.0,4,9
0.6,0.5555555555555556,0.4,14.417461355646859,0.1,5,0
0.8,0.75,0.2,7.20873067782343,0.1,5,1
0.8,0.7777777777777778,0.2,7.20873067782343,1.0,5,2
0.75,0.782608695652174,0.25,9.010913347279288,0.1,5,3
0.55,0.6086956521739131,0.45,16.219644025102717,0.1,5,4
0.85,0.8571428571428571,0.15,5.406548008367573,0.1,5,5
0.5,0.5833333333333334,0.5,18.021826694558577,1.0,5,6
0.75,0.7058823529411765,0.25,9.010913347279288,0.1,5,7
0.9,0.9090909090909091,0.1,3.604365338911715,0.1,5,8
0.75,0.7619047619047619,0.25,9.010913347279288,0.1,5,9
0.85,0.8571428571428571,0.15,5.406548008367573,0.1,6,0
0.85,0.8235294117647058,0.15,5.406548008367573,0.1,6,1
0.6,0.5555555555555556,0.4,14.417461355646859,0.1,6,2
0.75,0.782608695652174,0.25,9.010913347279288,10.0,6,3
0.7,0.625,0.3,10.813096016735145,0.1,6,4
0.85,0.8571428571428571,0.15,5.406548008367573,0.1,6,5
0.75,0.7058823529411765,0.25,9.010913347279288,0.1,6,6
0.9,0.8888888888888888,0.1,3.604365338911715,0.1,6,7
0.7,0.7272727272727273,0.3,10.813096016735145,1.0,6,8
0.85,0.8421052631578947,0.15,5.406548008367573,1.0,6,9
0.8,0.8181818181818182,0.2,7.20873067782343,0.1,7,0
0.65,0.5882352941176471,0.35,12.615278686191001,0.1,7,1
0.65,0.631578947368421,0.35,12.615278686191001,0.1,7,2
0.75,0.782608695652174,0.25,9.010913347279288,1.0,7,3
0.8,0.7777777777777778,0.2,7.20873067782343,0.1,7,4
0.9,0.9090909090909091,0.1,3.604365338911715,0.1,7,5
0.75,0.7368421052631579,0.25,9.010913347279288,0.1,7,6
0.9,0.8571428571428571,0.1,3.604365338911715,0.1,7,7
0.95,0.9565217391304348,0.05,1.8021826694558576,0.1,7,8
0.75,0.7619047619047619,0.25,9.010913347279288,0.1,7,9
0.9,0.8888888888888888,0.1,3.604365338911715,0.1,8,0
0.85,0.8421052631578947,0.15,5.406548008367573,1.0,8,1
0.65,0.5882352941176471,0.35,12.615278686191001,0.1,8,2
0.7,0.75,0.3,10.813096016735146,0.1,8,3
0.75,0.6666666666666666,0.25,9.010913347279288,0.1,8,4
0.7,0.75,0.3,10.813096016735145,0.1,8,5
0.8,0.8,0.2,7.20873067782343,0.1,8,6
0.75,0.7619047619047619,0.25,9.010913347279288,0.1,8,7
0.65,0.6666666666666666,0.35,12.615278686191004,0.1,8,8
0.7,0.7,0.3,10.813096016735146,0.1,8,9
0.75,0.7058823529411765,0.25,9.010913347279288,0.1,9,0
0.65,0.631578947368421,0.35,12.615278686191004,0.1,9,1
0.8,0.8,0.2,7.20873067782343,0.1,9,2
0.55,0.5263157894736842,0.45,16.219644025102717,0.1,9,3
0.7,0.7272727272727273,0.3,10.813096016735146,0.1,9,4
0.8,0.8,0.2,7.20873067782343,0.1,9,5
0.85,0.8421052631578947,0.15,5.406548008367573,0.1,9,6
0.9,0.8888888888888888,0.1,3.604365338911715,0.1,9,7
0.8,0.8,0.2,7.20873067782343,0.1,9,8
0.85,0.8571428571428571,0.15,5.406548008367573,0.1,9,9
