accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,repeat,fold
0.74,0.7475728155339806,0.26,9.37134988117046,entropy,,5,6,0,0
0.71,0.7070707070707071,0.29,10.452659482843973,entropy,sqrt,15,6,0,1
0.705,0.6974358974358974,0.295,10.632877749789559,gini,sqrt,15,14,0,2
0.69,0.6804123711340206,0.31,11.173532550626316,entropy,,1,6,0,3
0.8,0.797979797979798,0.2,7.20873067782343,gini,,15,2,0,4
0.69,0.6804123711340206,0.31,11.173532550626316,entropy,,15,6,0,5
0.76,0.7575757575757576,0.24,8.650476813388115,gini,,5,14,0,6
0.745,0.7301587301587301,0.255,9.191131614224876,gini,,15,2,0,7
0.73,0.7631578947368421,0.27,9.731786415061631,entropy,,15,14,0,8
0.775,0.7804878048780488,0.225,8.109822012551358,gini,,15,14,0,9
0.735,0.7488151658767772,0.265,9.551568148116045,entropy,,5,2,1,0
0.64,0.6326530612244898,0.36,12.975715220082174,entropy,,5,6,1,1
0.68,0.6767676767676768,0.32,11.533969084517489,gini,,1,6,1,2
0.69,0.6836734693877551,0.31,11.173532550626316,entropy,sqrt,15,14,1,3
0.82,0.8163265306122449,0.18,6.487857610041087,gini,,15,14,1,4
0.68,0.673469387755102,0.32,11.533969084517489,entropy,,15,6,1,5
0.755,0.7562189054726368,0.245,8.830695080333703,gini,,5,6,1,6
0.71,0.6881720430107527,0.29,10.452659482843973,gini,sqrt,15,6,1,7
0.755,0.7860262008733624,0.245,8.830695080333703,entropy,sqrt,15,2,1,8
0.735,0.736318407960199,0.265,9.551568148116045,entropy,,5,2,1,9
0.73,0.7378640776699029,0.27,9.731786415061633,entropy,,5,2,2,0
0.65,0.6601941747572816,0.35,12.615278686191004,entropy,,1,2,2,1
0.69,0.693069306930693,0.31,11.17353255062632,gini,,15,6,2,2
0.715,0.6951871657754011,0.285,10.27244121589839,entropy,,5,2,2,3
0.79,0.7941176470588235,0.21,7.569167211714602,gini,,15,14,2,4
0.68,0.673469387755102,0.32,11.533969084517489,entropy,,15,14,2,5
0.76,0.7575757575757576,0.24,8.650476813388117,gini,,5,2,2,6
0.735,0.7195767195767195,0.265,9.551568148116045,gini,,15,14,2,7
0.745,0.7811158798283262,0.255,9.191131614224874,entropy,,15,14,2,8
0.745,0.746268656716418,0.255,9.191131614224874,entropy,,5,6,2,9
0.72,0.7307692307692307,0.28,10.092222948952802,entropy,,5,2,3,0
0.7,0.6703296703296703,0.3,10.813096016735145,entropy,sqrt,15,2,3,1
0.695,0.6839378238341969,0.305,10.993314283680732,entropy,,15,2,3,2
0.695,0.6772486772486772,0.305,10.993314283680732,entropy,,5,14,3,3
0.81,0.8080808080808081,0.19,6.84829414393226,gini,,15,14,3,4
0.68,0.673469387755102,0.32,11.533969084517489,entropy,,15,6,3,5
0.735,0.7336683417085427,0.265,9.551568148116045,gini,,5,6,3,6
0.735,0.7225130890052356,0.265,9.551568148116045,gini,,15,2,3,7
0.74,0.7699115044247787,0.26,9.371349881170461,gini,sqrt,15,6,3,8
0.73,0.7378640776699029,0.27,9.731786415061631,entropy,sqrt,15,6,3,9
0.735,0.7439613526570048,0.265,9.551568148116045,entropy,,5,2,4,0
0.645,0.6395939086294417,0.355,12.79549695313659,entropy,,5,14,4,1
0.69,0.693069306930693,0.31,11.17353255062632,gini,,15,2,4,2
0.685,0.6735751295336787,0.315,11.353750817571902,entropy,,1,6,4,3
0.795,0.7980295566502463,0.205,7.388948944769016,gini,,15,14,4,4
0.685,0.676923076923077,0.315,11.353750817571903,entropy,,15,2,4,5
0.68,0.673469387755102,0.32,11.533969084517489,gini,,1,6,4,6
0.72,0.7021276595744681,0.28,10.092222948952802,gini,,5,14,4,7
0.745,0.7792207792207793,0.255,9.191131614224874,entropy,,15,2,4,8
0.73,0.73,0.27,9.731786415061631,entropy,,5,2,4,9
0.72,0.7171717171717171,0.28,10.092222948952804,entropy,,1,2,5,0
0.675,0.6733668341708543,0.325,11.714187351463075,entropy,,5,14,5,1
0.69,0.6770833333333334,0.31,11.17353255062632,entropy,,15,6,5,2
