accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.87,0.8712871287128713,0.13,4.68567494058523,gini,sqrt,1,2,100,0,0
0.81,0.8118811881188119,0.19,6.848294143932259,entropy,sqrt,1,2,200,0,1
0.9,0.8958333333333334,0.1,3.604365338911715,entropy,log2,1,10,200,0,2
0.86,0.825,0.14,5.046111474476401,gini,sqrt,1,2,200,0,3
0.89,0.8842105263157894,0.11,3.9648018728028864,gini,sqrt,1,2,100,0,4
0.77,0.7628865979381443,0.23,8.290040279496944,entropy,sqrt,1,10,200,0,5
0.79,0.8037383177570093,0.21,7.569167211714602,entropy,log2,1,10,100,0,6
0.82,0.8524590163934426,0.18,6.487857610041087,gini,sqrt,1,2,200,0,7
0.88,0.8888888888888888,0.12,4.325238406694059,entropy,sqrt,1,10,200,0,8
0.85,0.8275862068965517,0.15,5.406548008367573,gini,sqrt,1,2,100,0,9
0.9,0.9019607843137255,0.1,3.604365338911715,gini,log2,1,2,200,1,0
0.88,0.8867924528301887,0.12,4.325238406694059,gini,sqrt,1,2,200,1,1
0.85,0.8421052631578947,0.15,5.406548008367573,gini,sqrt,1,2,200,1,2
0.83,0.8089887640449438,0.17,6.127421076149915,entropy,log2,1,10,200,1,3
0.83,0.8282828282828283,0.17,6.127421076149916,gini,log2,1,2,100,1,4
0.78,0.7755102040816326,0.22,7.929603745605774,entropy,log2,10,2,100,1,5
0.89,0.9026548672566371,0.11,3.964801872802887,entropy,log2,1,2,100,1,6
0.85,0.8717948717948718,0.15,5.406548008367573,entropy,sqrt,1,2,200,1,7
0.86,0.8703703703703703,0.14,5.046111474476401,entropy,log2,1,10,200,1,8
0.82,0.8085106382978723,0.18,6.487857610041087,gini,sqrt,1,2,200,1,9
0.84,0.8490566037735849,0.16,5.7669845422587445,entropy,log2,1,10,200,2,0
0.83,0.8210526315789474,0.17,6.1274210761499175,gini,sqrt,1,2,200,2,1
0.88,0.875,0.12,4.325238406694059,entropy,log2,1,10,200,2,2
0.83,0.8089887640449438,0.17,6.127421076149916,gini,sqrt,1,2,200,2,3
0.85,0.8484848484848485,0.15,5.406548008367573,gini,sqrt,1,2,200,2,4
0.83,0.8210526315789474,0.17,6.127421076149916,entropy,sqrt,1,10,200,2,5
0.87,0.8849557522123894,0.13,4.68567494058523,gini,sqrt,1,2,200,2,6
0.85,0.8648648648648649,0.15,5.406548008367572,gini,sqrt,1,2,200,2,7
0.78,0.7884615384615384,0.22,7.929603745605773,entropy,sqrt,1,10,200,2,8
0.8,0.7872340425531915,0.2,7.20873067782343,entropy,sqrt,1,10,200,2,9
0.87,0.8712871287128713,0.13,4.685674940585231,entropy,sqrt,1,2,200,3,0
0.87,0.8686868686868687,0.13,4.685674940585229,entropy,log2,1,10,100,3,1
0.88,0.875,0.12,4.325238406694059,gini,log2,1,10,200,3,2
0.79,0.7640449438202247,0.21,7.5691672117146025,entropy,log2,1,2,100,3,3
0.85,0.8514851485148515,0.15,5.406548008367573,entropy,sqrt,1,10,100,3,4
0.86,0.8444444444444444,0.14,5.046111474476401,gini,log2,1,2,200,3,5
0.79,0.8108108108108109,0.21,7.569167211714602,gini,sqrt,1,2,200,3,6
0.78,0.8166666666666667,0.22,7.929603745605773,entropy,sqrt,1,2,100,3,7
0.81,0.8155339805825242,0.19,6.848294143932259,entropy,sqrt,1,2,200,3,8
0.9,0.8863636363636364,0.1,3.604365338911715,entropy,sqrt,1,2,200,3,9
0.8,0.803921568627451,0.2,7.208730677823431,entropy,sqrt,1,2,200,4,0
0.75,0.7747747747747747,0.25,9.010913347279288,entropy,sqrt,1,2,200,4,1
0.8,0.7777777777777778,0.2,7.20873067782343,gini,log2,1,10,200,4,2
0.85,0.8275862068965517,0.15,5.406548008367573,gini,sqrt,1,2,100,4,3
0.84,0.8367346938775511,0.16,5.7669845422587445,entropy,log2,1,2,100,4,4
0.87,0.8712871287128713,0.13,4.68567494058523,gini,log2,1,2,200,4,5
0.81,0.8155339805825242,0.19,6.848294143932259,entropy,sqrt,1,2,200,4,6
0.8,0.8245614035087719,0.2,7.208730677823431,entropy,log2,1,2,200,4,7
0.77,0.7766990291262136,0.23,8.290040279496946,gini,sqrt,1,2,200,4,8
0.77,0.7628865979381443,0.23,8.290040279496946,entropy,sqrt,1,2,200,4,9
0.87,0.8761904761904762,0.13,4.68567494058523,gini,sqrt,1,2,200,5,0
0.83,0.8495575221238938,0.17,6.127421076149916,entropy,log2,1,2,200,5,1
0.84,0.8297872340425532,0.16,5.7669845422587445,entropy,sqrt,1,2,200,5,2
0.91,0.8941176470588236,0.09,3.2439288050205435,entropy,log2,1,2,200,5,3
0.9,0.9,0.1,3.604365338911715,gini,log2,1,2,200,5,4
0.85,0.8421052631578947,0.15,5.406548008367573,entropy,log2,1,2,200,5,5
0.84,0.8545454545454545,0.16,5.766984542258744,gini,sqrt,1,2,200,5,6
0.76,0.7966101694915254,0.24,8.650476813388115,gini,log2,1,2,200,5,7
0.82,0.8392857142857143,0.18,6.487857610041087,entropy,sqrt,1,2,200,5,8
0.81,0.7764705882352941,0.19,6.848294143932259,gini,sqrt,1,2,200,5,9
0.87,0.8761904761904762,0.13,4.685674940585231,gini,log2,1,10,100,6,0
0.76,0.7777777777777778,0.24,8.650476813388117,gini,sqrt,1,2,200,6,1
0.79,0.7586206896551724,0.21,7.569167211714602,gini,log2,1,2,200,6,2
0.84,0.813953488372093,0.16,5.7669845422587445,entropy,sqrt,1,2,200,6,3
0.85,0.845360824742268,0.15,5.406548008367573,entropy,log2,1,2,200,6,4
0.79,0.7640449438202247,0.21,7.5691672117146025,entropy,sqrt,1,10,100,6,5
0.88,0.8928571428571429,0.12,4.325238406694059,entropy,sqrt,1,2,200,6,6
0.8,0.8214285714285714,0.2,7.20873067782343,entropy,sqrt,1,2,200,6,7
0.88,0.8909090909090909,0.12,4.325238406694058,gini,log2,1,10,200,6,8
0.86,0.8444444444444444,0.14,5.046111474476402,gini,log2,1,2,100,6,9
0.8,0.7959183673469388,0.2,7.20873067782343,gini,log2,1,2,200,7,0
0.81,0.822429906542056,0.19,6.848294143932259,gini,sqrt,1,2,200,7,1
0.78,0.7608695652173914,0.22,7.929603745605773,entropy,log2,1,2,200,7,2
0.85,0.8235294117647058,0.15,5.406548008367573,gini,sqrt,1,10,200,7,3
0.92,0.9166666666666666,0.08,2.8834922711293722,entropy,log2,1,2,200,7,4
0.84,0.8297872340425532,0.16,5.7669845422587445,entropy,log2,1,10,100,7,5
0.8,0.8181818181818182,0.2,7.20873067782343,gini,log2,1,10,200,7,6
0.76,0.7818181818181819,0.24,8.650476813388115,entropy,log2,1,2,100,7,7
0.87,0.8785046728971962,0.13,4.68567494058523,gini,sqrt,1,2,200,7,8
0.83,0.8210526315789474,0.17,6.127421076149916,gini,sqrt,1,2,200,7,9
0.84,0.8367346938775511,0.16,5.7669845422587445,gini,log2,1,2,200,8,0
0.77,0.7850467289719626,0.23,8.290040279496944,gini,sqrt,1,10,200,8,1
0.84,0.8333333333333334,0.16,5.7669845422587445,gini,log2,1,2,100,8,2
0.78,0.7555555555555555,0.22,7.929603745605773,entropy,log2,1,2,100,8,3
0.89,0.8865979381443299,0.11,3.964801872802887,gini,log2,1,2,100,8,4
