accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.88,0.875,0.12,4.325238406694058,gini,sqrt,1,2,200,8,5
0.84,0.8518518518518519,0.16,5.7669845422587445,gini,log2,1,2,200,8,6
0.76,0.7857142857142857,0.24,8.650476813388117,entropy,log2,1,2,200,8,7
0.84,0.8571428571428571,0.16,5.7669845422587445,entropy,sqrt,1,2,200,8,8
0.87,0.8571428571428571,0.13,4.685674940585229,entropy,sqrt,1,2,200,8,9
0.85,0.8623853211009175,0.15,5.406548008367573,gini,log2,1,2,200,9,0
0.86,0.875,0.14,5.046111474476401,entropy,sqrt,1,2,200,9,1
0.87,0.865979381443299,0.13,4.68567494058523,gini,sqrt,1,2,200,9,2
0.84,0.813953488372093,0.16,5.7669845422587445,gini,sqrt,1,2,200,9,3
0.83,0.8210526315789474,0.17,6.127421076149916,entropy,sqrt,1,2,200,9,4
0.8,0.782608695652174,0.2,7.20873067782343,entropy,sqrt,1,2,100,9,5
0.86,0.8833333333333333,0.14,5.046111474476401,entropy,log2,1,10,100,9,6
0.7,0.7321428571428571,0.3,10.813096016735146,gini,sqrt,1,2,200,9,7
0.85,0.8648648648648649,0.15,5.406548008367573,gini,log2,1,2,200,9,8
0.86,0.851063829787234,0.14,5.046111474476402,entropy,sqrt,1,10,200,9,9
