accuracy,f1_score,brier_score,log_loss,criterion,max_features,min_samples_leaf,min_samples_split,n_estimators,repeat,fold
0.872,0.8740157480314961,0.128,4.613587633806995,gini,log2,1,2,200,7,4
0.854,0.8640595903165735,0.146,5.262373394811104,entropy,log2,1,2,200,7,5
0.862,0.8583162217659137,0.138,4.9740241676981665,gini,log2,1,10,200,7,6
0.892,0.8969465648854962,0.108,3.8927145660246523,gini,log2,1,2,200,7,7
0.848,0.8492063492063492,0.152,5.478635315145807,entropy,log2,1,2,200,7,8
0.88,0.8909090909090909,0.12,4.325238406694059,gini,log2,1,2,200,7,9
0.88,0.8790322580645161,0.12,4.325238406694059,gini,log2,1,2,200,8,0
0.872,0.8805970149253731,0.128,4.613587633806995,gini,log2,1,10,200,8,1
0.862,0.8594704684317719,0.138,4.9740241676981665,entropy,log2,1,2,200,8,2
0.86,0.8541666666666666,0.14,5.046111474476402,entropy,sqrt,1,10,200,8,3
0.892,0.8932806324110671,0.108,3.8927145660246523,gini,log2,1,2,200,8,4
0.892,0.8984962406015038,0.108,3.8927145660246527,gini,sqrt,1,2,200,8,5
0.876,0.8724279835390947,0.124,4.469413020250527,entropy,sqrt,1,2,200,8,6
0.874,0.8790786948176583,0.126,4.541500327028761,gini,log2,1,2,200,8,7
0.856,0.8582677165354331,0.144,5.19028608803287,entropy,log2,1,10,200,8,8
0.868,0.8782287822878229,0.132,4.7577622473634635,gini,sqrt,1,2,200,8,9
0.874,0.8732394366197183,0.126,4.541500327028761,gini,sqrt,1,2,200,9,0
0.882,0.8905380333951762,0.118,4.253151099915824,entropy,log2,1,2,200,9,1
0.862,0.8577319587628865,0.138,4.9740241676981665,gini,sqrt,1,10,200,9,2
0.884,0.8765957446808511,0.116,4.181063793137589,gini,log2,1,2,100,9,3
0.876,0.8838951310861424,0.124,4.469413020250528,gini,sqrt,1,10,200,9,4
0.886,0.8930581613508443,0.114,4.108976486359356,entropy,sqrt,1,10,200,9,5
0.872,0.8735177865612648,0.128,4.613587633806995,gini,log2,1,2,200,9,6
0.872,0.875968992248062,0.128,4.613587633806995,gini,log2,1,2,200,9,7
0.848,0.8532818532818532,0.152,5.478635315145808,gini,sqrt,1,2,200,9,8
0.872,0.8832116788321168,0.128,4.613587633806995,entropy,log2,1,10,200,9,9
